,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
10,8157.117522,8099.951136,8809.30108,9928.814989,6498.384341,5818.581248,7026.911865,7345.71311,10062.65225,9116.894216,8519.389215,10458.61502,2871.217083,5828.92118,5610.312864,5417.694461,6060.577086,10936.04445,6758.294385,10451.51458,5115.973233,8601.363799,7014.695726,7494.028314,9104.537088,6854.53732,9445.41711,6234.003059,10396.15648,6955.472007,7227.12258,5658.435659,8155.123483,8578.89684,6225.742555,5896.949312,6365.587561,4897.775478,3435.546565,8066.229988,5685.872023,6801.332041,8761.659661,6278.72704,5707.689865,4380.58471,8779.604158,5918.62445,7548.506441,4982.480916,6819.19972,7379.864486,6173.475824,6427.790831,5812.891541,5284.291298,8730.511503,10114.75303,6803.917488,7202.627013,6342.770313,4738.702954,6731.074224,6049.775065,8977.742786,6856.652516,6495.98989,6528.142911,6312.157444,6106.267058,5885.91203,5495.984458,5144.329114,5415.060308,6882.482448,6180.32525,5339.107444,6032.188421,5858.025801
13,14962.51709,10709.06897,9996.163883,8612.33721,9541.036928,7072.967432,9499.012976,11725.36815,14084.96077,8878.60668,9241.745241,8675.132621,5554.767725,8301.254172,9314.210082,7472.322733,15449.45728,6503.957642,9750.07866,9685.782792,8759.117188,8358.337893,8814.509412,4243.475697,12084.48611,17628.88797,12060.14608,7694.778511,8697.443883,8692.85755,6973.821325,7988.732938,12339.22975,10987.47415,7908.23817,3582.716148,7361.957772,6643.219461,4919.028937,7949.674795,6024.474018,8924.688573,11046.65531,5029.106042,6316.405605,5103.428604,3839.733961,7123.678443,18162.62503,7997.610712,12304.35149,10295.17323,6970.391144,8284.539759,5805.230849,6704.087167,16229.78662,15012.38339,9871.801052,8878.65809,11549.04,5013.137897,9150.673579,6095.741927,13259.42836,8297.452974,8269.120144,8490.863257,8752.823796,8371.272419,7148.1963,6633.953927,6594.755925,6386.56888,8975.925129,8498.768998,7734.916349,7539.171774,7842.122596
14,10657.11233,8718.704492,7853.193107,8986.737436,9641.687267,7755.183538,11135.11684,9846.917466,9858.314536,9798.79938,9425.267563,6660.543967,18667.83783,8767.787219,9677.716951,9809.372237,13895.31723,7308.17211,11031.20023,8368.035282,9604.229426,7246.180937,10019.14045,3879.137222,10408.49765,11358.09616,8896.798923,7350.532266,8982.331822,8665.018571,6674.495245,7523.912931,11591.86017,9734.91799,8374.387822,3744.370545,10172.25898,10217.17643,5814.873439,9097.826851,8123.584616,12410.4458,10625.87558,7915.214288,6779.148891,6220.755556,3861.041547,8567.00238,10408.93968,13038.30579,11168.0942,10158.33053,11407.1708,10946.09094,7951.619521,7764.239744,13169.09646,10943.03956,10678.05518,10140.64061,14026.79919,6538.55566,11147.3346,7790.631128,11488.85943,9110.277001,8415.711239,8820.621927,8417.947131,9242.556536,8024.172904,7760.009536,7857.359859,7200.988391,8686.626472,9451.516586,8393.166346,7859.124078,8318.357748
15,14221.37378,12881.58578,8702.132082,8927.043732,11036.77561,7924.692255,14099.41394,11817.80206,13661.36255,12525.55682,11087.03503,9730.213018,16781.55406,9844.927674,12803.48315,12996.81387,16037.83608,9093.168148,13659.57731,10834.52015,11251.63145,8131.583615,12352.34215,5718.914214,11948.90675,15290.43742,11168.79364,8640.921605,12416.22196,9426.79904,7433.357836,9165.618319,12585.11578,13489.97118,8949.458887,3730.048906,12122.21976,11410.93728,5496.002816,11031.33659,9469.29919,11331.2362,11773.3871,8541.086621,8012.152572,5908.237378,4432.94453,10700.20165,15153.8404,13142.33599,13399.19007,11246.94997,11050.85746,11801.18129,9466.85452,8860.309658,14486.15132,13758.34362,10335.97897,12966.77067,14145.75294,6749.668986,12056.4838,8598.726572,12645.50035,9397.001824,9447.441115,9780.981524,9755.788257,9748.176467,8307.077995,7729.276688,8054.442538,8398.277425,10372.049,8846.222888,8472.03316,8848.294096,9148.537775
16,2487.202592,5808.55234,4081.982623,9114.637344,10492.00956,12852.66984,7217.672461,1969.261342,3563.837439,11527.8789,7658.421173,5162.248071,6264.57359,9011.826327,5871.531764,7728.665411,5187.898005,8140.319968,9595.743761,7470.034217,7165.620955,11347.21047,10571.49757,12473.55267,6553.529274,4700.481151,4589.656825,8204.300762,8714.297021,6543.551032,13117.50283,9112.720317,8235.154695,7795.991976,13835.45857,19450.64297,19534.58443,18419.1587,21439.26355,12376.3361,15231.07303,7898.82675,10348.36969,21354.24298,11222.78586,16956.43729,12361.89468,10226.5298,3613.419546,19989.03393,9136.334701,14133.93897,22879.79804,18758.95826,20267.10343,14145.50102,5009.245497,5193.887,15072.09318,14366.04975,10344.74052,26129.34806,16706.70834,20991.93638,4656.037767,6768.309861,6987.417897,6708.854395,6363.141969,11820.9465,14741.84717,14302.54146,12645.60766,11476.67727,9265.335672,10198.66754,9722.037263,9369.131781,8640.424894
17,6877.585884,9547.830771,6795.855916,9536.294314,7462.692738,10559.52773,8876.216638,5484.517809,9865.369742,11069.8967,10033.76591,8064.661643,5500.479954,9556.094784,9316.730953,10119.73406,6842.566707,8404.549458,8838.813359,8741.712396,8370.466362,8917.620654,9178.770685,10678.75881,8086.160051,8258.845918,8498.503362,7337.202272,9161.803324,7593.3507,11347.8429,9729.344847,9739.359551,10736.68137,12382.80395,16230.31177,11581.70857,12161.62394,13329.05829,10609.05746,12310.97269,13346.69807,10454.54812,14173.37089,12938.30534,14386.92559,14992.16234,11937.26298,6335.362189,13294.28123,9858.01366,10840.91237,11392.25902,10337.88388,13092.65192,11760.83213,7948.570743,9664.702802,13014.90246,10939.95015,8921.250824,12146.08381,10209.12637,11949.5297,6916.314317,8536.328718,7756.367795,7151.031037,6681.984653,10866.43322,12163.31078,11963.3319,11468.77699,11748.34553,8705.604184,10142.85157,10027.81428,9532.796537,9466.897384
18,10298.36619,12301.46356,11334.14041,14415.54022,14592.24527,14728.24527,17773.42903,11666.71701,11218.52249,12081.98995,13425.50901,9936.583781,24302.85067,13387.37175,13088.93879,16566.27238,14458.01501,11595.02534,13779.97972,11010.99479,14464.77228,10164.75613,16379.26037,9137.896421,12113.54361,9670.853436,11177.24902,16941.11508,14904.14939,13145.30219,14772.41471,17426.0909,12466.95249,13952.21936,11828.03738,12299.55864,20363.19342,25337.01504,17967.61997,14157.76212,12235.59677,13987.5722,11337.00097,17616.27547,12724.83982,18902.00219,8810.647841,10132.58295,8400.028203,26429.61617,10282.76878,14439.65627,30231.07013,24985.1229,18745.02474,17278.33746,11753.19253,10663.79625,20444.87665,18302.83824,28233.53915,18667.78272,22204.39663,17452.65952,7863.856172,9961.783597,9671.929974,10192.17682,10304.64145,10512.36688,12195.27528,12216.36919,11111.96844,10222.21579,10097.93997,11055.01671,10924.07854,10239.03295,10592.05163
19,16570.26376,13875.21429,10377.06852,9504.698412,11365.09248,10974.79325,19250.8573,13507.47801,16338.50011,11295.41858,12151.46423,8437.573709,44770.20167,9768.782808,12575.82818,12966.14993,18406.50854,11682.88344,13528.15622,10983.91402,11597.16974,9704.77656,11879.97916,4372.341955,19415.05467,17317.84832,12651.71235,8823.309598,14689.17884,12194.46917,6384.471959,10083.74474,16503.30786,14265.62912,10040.93084,4437.651332,16691.41482,17601.66604,5803.989953,13992.94089,8020.050248,12052.1877,11467.89238,7424.155543,5494.277061,6210.710726,3788.424121,9976.001846,13735.15014,19040.30579,14371.35458,14228.40551,12160.38682,11076.11424,9618.573587,11545.6725,23759.37605,17395.91591,12618.68704,13633.38867,21323.43194,8638.82651,18642.13285,12050.88379,14966.90243,9799.638028,10816.13774,12879.26181,13427.20105,11837.15382,8861.560075,9296.168318,9963.051471,9976.827544,12356.96771,9925.1461,10338.5773,10063.69903,11448.33362
20,14397.7733,14137.15301,12765.52596,15242.51677,12834.28595,14662.51713,13820.58005,12331.33679,13848.46171,12247.17006,13017.67164,10554.07664,13848.27668,11277.27906,9137.469041,11009.76663,14024.11937,13943.5995,12013.64247,13800.58423,12925.24726,14901.52242,12561.32128,10695.29479,16976.39441,15177.20348,16067.79822,12727.35594,14310.76941,12877.56383,11353.89223,10617.47658,15967.90397,15260.40088,13762.86802,10480.05509,14118.22284,13555.25266,10505.7369,14731.13776,10786.92459,15729.24996,13666.27374,13509.00164,10702.37871,10207.58026,12554.8756,10916.61943,14145.14964,13024.13728,15173.75405,16333.98132,12637.13443,13071.40155,12611.1919,13210.75058,17160.71878,17476.43215,13061.82419,15710.12559,13235.64531,12449.62451,14577.79002,12900.19246,14341.30148,11340.54156,10440.39954,11036.52692,10807.63328,13039.00069,12041.63344,10304.67171,11087.306,11087.4665,11746.21223,11828.2533,11260.12837,11353.67353,11507.12552
21,15244.56159,14671.80798,15345.40237,12410.31139,12729.49403,12472.44793,13110.40568,12887.93082,13753.24587,10326.76631,11286.60587,10949.95626,13651.21618,10306.9866,11820.46094,10345.90636,13841.77776,14597.88832,10532.51342,11614.33624,12234.40477,14194.55364,10670.07298,12356.5918,15597.93822,15744.89367,14728.58758,11786.3829,14071.67338,13727.18222,10705.21145,11697.10927,17787.92668,13894.72615,12717.29716,10933.0928,13454.59453,12837.74658,12228.59317,15400.01811,11432.17892,10702.80425,12450.82585,11674.19057,11117.85777,10503.1717,11559.0527,10349.94635,15521.87504,15095.56297,14396.83984,14129.19146,10800.30982,12152.2769,10212.08771,13177.4438,17792.58287,15403.74947,12083.41096,14800.89614,12426.38174,12190.28258,13989.10218,12900.32857,12730.14084,10357.38265,11617.13407,11561.69189,11702.88343,13349.21245,11237.17379,10569.46167,10970.48896,11146.7689,13378.93367,10516.76727,11537.51825,11221.62326,11467.31748
22,17503.71793,16332.20894,19397.67466,17377.48089,15067.09483,17001.82464,12941.83727,17798.30845,19279.45261,15123.82661,19160.02884,15132.13636,5137.465546,17001.11237,12006.3263,14136.91742,14125.40179,15591.29725,16609.04299,17412.13065,13448.02928,19125.34206,16019.9087,14435.99188,17350.08549,16942.39565,20125.35915,17980.41539,14077.25281,16322.30487,17409.94531,16128.41081,16143.36374,14974.57312,12425.01645,10120.00175,10466.91964,12035.73007,8361.595514,13491.02505,10916.15743,19196.2291,17499.07323,13330.575,12295.98027,10078.93196,16060.62404,11614.34836,15501.73515,9422.241801,14074.75311,14150.53385,11750.57151,12180.178,10779.42501,11364.20498,15233.72643,18506.79748,14264.80565,12034.70203,13397.96636,9898.605921,13105.26186,14124.1064,19496.66914,13649.52138,12807.0379,14445.12511,13265.54756,12398.00856,10984.34285,10285.81617,9879.853252,10510.85219,13467.36239,12979.69896,11695.87999,12313.14234,12269.88104
23,13725.2486,15845.68685,14063.1955,14168.64927,15245.93741,15478.5962,11427.86906,12802.40282,12924.76833,16116.66413,13394.55327,14670.59162,7618.039158,14332.53947,11152.38595,14385.92273,13465.11785,15219.80368,14941.96859,15018.82084,13258.03795,14580.07791,15963.86334,14394.79779,12801.19811,15851.0505,14996.07832,11299.14291,13351.76196,12410.3793,12270.5023,12637.41493,14126.85723,16136.15752,14817.91489,14492.8903,15060.11535,13908.16803,12201.92656,14976.06739,14261.60044,15282.1149,14615.88482,12578.69054,13286.44589,14226.22762,16354.00333,15430.17253,14472.30413,11512.45208,14459.64323,16119.61152,15087.30749,15775.05572,14378.8675,16586.93234,12899.97476,13508.36958,15336.6751,15152.06702,12449.5456,15152.72913,15512.22908,12554.14008,11604.12476,12741.79744,14678.80237,12379.70063,13703.6874,12471.00752,15436.93754,14806.69397,15316.28991,14377.73504,12480.11541,13861.90461,16210.93175,13671.10134,15080.00833
24,12276.84774,12937.64956,11824.29295,12223.74642,10515.46156,13989.34415,15238.92531,10479.72638,13395.6909,19711.01195,13105.27744,12844.85149,24790.05881,13179.62879,10713.15573,12688.0072,12166.4357,15331.95111,14606.63812,16632.32915,9945.280878,12128.279,12113.43405,14094.85935,13603.27945,12275.12977,12449.9438,13098.15894,14738.80182,11565.40672,16289.24239,13551.78364,13814.83408,14833.99271,16474.91993,16400.85474,15158.75027,11859.11516,20189.08791,16585.90407,17245.83674,16835.18604,17922.30537,15297.65368,17024.45382,19470.83369,14777.94742,14512.91102,16117.0231,12668.37293,15150.67375,15651.46785,19067.74057,19532.51787,17885.93737,15402.33947,13532.74636,15143.89736,21093.87838,15327.15738,19238.48466,15861.21289,19330.99354,16404.94671,10649.69593,16551.23354,15512.31981,14567.23917,13444.61888,15556.40369,16711.52974,18162.94922,17618.85124,14264.32039,13168.56863,15095.75816,15129.36906,15366.29317,15214.69673
25,24034.2719,24342.06418,19459.1603,21957.59393,21873.95683,23347.50944,15443.69226,16759.2595,20857.06237,17548.38407,15952.7652,15943.07822,16497.54963,17551.06302,12729.9206,16918.19244,18697.34038,18256.00423,20417.66207,15872.18538,20527.06264,21922.06549,16427.38633,19311.74175,18359.3069,24194.30024,25418.46324,21857.54425,18057.92986,15127.22849,18277.12838,15376.59192,20429.2397,22751.40751,20087.12542,23824.32721,18186.34253,24094.33921,26895.74233,17412.05434,22093.89435,21963.66842,18440.74576,22105.71865,20989.63833,23015.09189,19123.11371,16157.80161,24021.25379,21323.42959,20063.78686,18690.86439,18943.31292,18737.05406,17455.57545,21419.85466,20529.49548,23127.37601,20140.02802,19853.29352,14383.55678,22331.33051,16042.77533,20206.50325,20266.12397,14478.75891,14244.30339,13369.97334,12899.92951,16270.74716,17430.13806,16120.41903,15147.88763,14895.84258,15374.2066,16741.35815,15509.16867,14741.23178,14833.87769
26,16051.04069,16842.53628,17783.09526,15270.22438,16118.11978,17593.97076,15861.4447,17764.5266,17558.81442,16335.39179,17919.05787,16151.51313,14192.09348,18080.48432,17333.02332,18389.04208,14657.60723,19463.91495,17065.9071,16064.87823,17532.21083,18137.74945,17065.03776,17731.38293,15281.80434,16573.87343,16512.30078,19549.32489,16171.65616,17163.38538,15133.72207,16984.3414,11513.69011,12321.31729,12305.71734,12582.27767,12141.08234,13606.35331,10604.8662,11700.29541,11179.17537,12258.63251,12187.39409,11823.75854,14107.79228,11831.18204,14722.8947,13822.72423,12993.46972,8544.942946,14320.88493,13312.93792,12176.75418,12664.22026,14136.59688,12299.46715,11044.42491,11969.77611,11371.97537,12425.77087,12392.07327,11458.62501,11880.39965,14620.09134,15063.49507,18067.51069,18201.42736,17840.09218,17258.16541,12083.88276,13441.03511,13590.03346,13328.71463,12690.05696,14987.83273,16131.09786,16673.713,15543.10033,15272.47351
