"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"Cortx22",-1.0438,1.304,2.1878,0.68063,-0.20075,-0.0057465,0.54316,-0.42262,0.021332,-0.025508,0.9365,0.37804,0.42735,-0.42135,0.091484,-0.29408,-0.13691,0.19592,-0.22639,-0.060866,0.023718,0.11943,0.30775,-0.1633,-0.15548,0.098536,0.057473,0.11605,0.18585,-0.017797,0.018923,0.060914,-0.095738,-0.0089478,0.065248,-0.10524,-1.1883e-16
"Cortx30",-0.83759,1.9684,1.1051,1.239,0.073635,-0.63848,0.17787,0.31977,-0.020002,-0.76023,-0.31956,-0.26145,-0.22084,-0.051494,-0.032544,-0.20121,0.27815,-0.31535,0.016912,-0.26138,0.033237,-0.29665,-0.046119,-0.10532,0.21431,0.19265,-0.13077,-0.15834,0.039614,0.040087,0.1506,0.025657,0.062727,0.22332,-0.02879,-0.085225,3.786e-16
"Cortx14",-1.6721,-1.7326,-0.46262,0.52071,-0.13678,0.99764,0.44015,-0.6696,-1.0598,0.20579,-0.12674,-0.18458,-0.51618,-0.13357,-0.0053824,0.31497,-0.19809,0.39046,0.24089,-0.25895,0.23725,-0.072405,0.20389,-0.043652,0.19725,0.27442,0.018928,0.072546,0.074788,0.092844,-0.049462,0.070465,0.12245,-0.051898,-0.052306,0.033543,2.6455e-16
"Cortx10",1.6899,-0.80499,-0.3834,-0.724,0.022441,-0.60209,-1.1626,-0.23962,0.12078,0.80944,-0.22203,0.12102,-0.34832,-0.20998,-0.46226,-0.89424,-0.0098543,0.18762,-0.22225,0.032152,0.086158,-0.15208,-0.14794,-0.274,0.17066,0.10088,-0.056602,0.02323,-0.019474,-0.016352,0.012644,0.038636,-0.047072,-0.075587,0.057353,0.039713,2.6888e-17
"Cortx2",-0.436,0.86379,0.20144,0.55765,1.5954,0.40987,1.1089,-1.0423,0.29511,0.57955,-0.26576,-0.09177,-0.22685,0.48968,0.12539,0.15223,0.49874,0.14048,-0.19669,0.028865,-0.21207,0.20293,-0.22855,-0.072764,0.023617,0.13571,0.05505,0.14202,-0.14172,0.037105,0.04764,-0.067557,-0.1456,-0.017471,0.0039938,-0.061159,-7.5894e-17
"Cortx5",0.84675,0.18585,0.6742,-0.60075,0.91929,0.94188,-0.8774,-0.72366,0.050223,0.25216,-0.018072,-0.17895,0.071507,0.2123,-0.23355,0.23448,-0.69594,-0.40943,-0.036135,0.012067,-0.060263,0.28624,0.11831,-0.15791,0.18053,-0.16405,0.0086072,-0.020005,0.00698,-0.029954,0.12694,0.085008,-0.047638,0.18644,-0.036464,0.047637,-1.275e-16
"Cortx13",-0.70298,0.3461,-0.35002,0.74629,-0.54446,-1.3164,0.70283,0.3221,0.07675,-0.14019,-0.0040891,0.10657,0.26669,-0.35339,0.33052,-0.043757,-0.39666,0.30945,0.25819,0.13888,-0.22252,0.24266,-0.088758,-0.06834,0.26673,-0.060697,-0.088456,0.051265,-0.19573,0.17572,0.22673,-0.079416,0.011196,-0.048334,0.011088,0.11026,3.593e-16
"Cortx9",1.8966,0.09148,-1.1903,-0.037865,0.30252,-0.29565,0.42922,-0.52921,0.13219,-0.083369,0.092962,0.75016,0.5352,0.57119,-0.18718,0.005703,-0.29238,-0.15699,-0.097339,-0.5149,0.2004,-0.14855,-0.16581,0.12827,-0.0306,-0.0095927,-0.027481,-0.041839,0.097977,0.074827,0.11125,-0.15499,0.12621,-0.11771,-0.006691,-0.041267,-3.1962e-16
"Cortx1",-0.29928,1.3422,0.39557,0.87492,1.2591,-0.30307,0.39353,-0.26884,-0.226,0.24401,-0.40839,0.0093786,-0.10748,0.026658,-0.13498,-0.38437,0.02929,-0.18251,0.80068,0.26319,-0.023702,-0.054691,0.13407,0.11019,0.01288,-0.25483,0.11464,-0.0345,0.1889,-0.064304,-0.056522,-0.014464,0.022239,-0.11729,0.047939,-0.035397,4.8334e-16
"Cortx6",4.6518,2.0653,-0.84257,-1.3855,0.41658,-0.32855,-0.12643,-0.066623,0.42828,0.012052,0.82679,-0.10341,-0.56275,0.027548,0.65547,-0.090248,0.12003,0.11174,0.2409,-0.26532,0.050619,-0.0085008,0.12443,0.098931,0.073174,-0.023234,-0.065792,0.10007,-0.043958,-0.09812,-0.085206,0.012036,0.037321,0.06476,-0.041816,0.055347,-3.0358e-16
"Cortx15",-0.35512,-1.8711,-0.22982,0.70961,0.19994,0.19829,-1.1763,0.23045,-0.34987,0.22281,0.042734,0.64406,-0.2162,-0.20048,0.2872,0.04915,-0.026179,0.3128,-0.024757,0.068622,-0.043296,0.067646,-0.033006,0.27217,0.16403,-0.025692,0.10814,-0.2285,0.0050906,-0.12947,-0.0017447,-0.23123,-0.10247,0.14615,-0.0030534,-0.15158,-4.1688e-17
"Cortx8",-1.2089,-1.4215,-0.98836,0.56626,1.1837,0.3763,0.61716,1.2859,1.2096,0.48022,-0.45012,-0.10048,0.31889,0.0036286,0.17891,-0.12386,-0.33851,0.13165,0.0062349,-0.13323,0.062708,-0.29532,0.10876,0.044041,-0.12741,0.054926,-0.0010537,0.17024,0.057482,0.016252,-0.074422,0.051238,-0.12601,0.11031,-0.057494,0.038035,5.3126e-17
"Cortx11",0.63843,-1.5972,-1.1738,0.24539,-0.04881,-0.23973,-0.10277,0.84975,0.59524,-0.34943,-0.034038,-0.10674,-0.30816,-0.17144,0.0085913,0.050364,0.26387,-0.45774,-0.19291,-0.17375,0.048972,0.39501,0.23757,-0.17418,0.17952,-0.054561,0.33364,0.046303,0.023528,0.10618,-0.0040579,-0.0020397,0.047564,-0.13962,-0.0063815,-0.097554,4.2067e-17
"Cortx7",1.2058,0.094773,-1.4794,-1.258,1.6594,-0.77174,0.3062,-0.70377,-0.67644,-0.61534,-0.39149,-0.23711,0.50279,-0.94917,-0.026628,0.15666,0.11718,-0.024205,-0.29123,0.14054,0.19196,-0.073582,0.055881,0.12039,-0.082133,-0.032326,0.010758,-0.030859,-0.045169,0.022082,-0.023391,0.007251,-0.037383,0.023691,-0.021613,-0.00060412,-4.0332e-17
"Cortx16",0.022987,-0.47688,0.015613,0.70801,-0.0088264,-0.79695,-1.3555,-0.0027724,-0.36061,0.48734,0.25108,-0.40063,0.24358,-0.20161,0.048589,0.48593,2.3505e-05,-0.34581,0.17294,-0.28496,-0.35327,-0.14499,-0.10978,-0.067763,-0.074358,0.082065,-0.15317,0.12036,0.041126,0.098652,-0.1795,-0.08922,-0.077797,-0.042909,0.18516,-0.010649,1.8735e-16
"Cortx12",0.6485,-0.27436,0.018337,-0.23871,0.7743,-0.53221,0.47886,0.81481,-0.60297,0.62683,0.1842,0.4269,0.4461,0.18196,-0.11235,-0.0075766,0.16718,-0.085687,0.11693,0.058559,-0.1287,0.33305,-0.024077,-0.10723,-0.11393,0.29123,0.031902,-0.30302,-0.065527,-0.064638,-0.14435,0.14192,0.15201,0.070207,-0.023881,0.089006,1.0332e-16
"Cortx4",2.823,1.7063,-1.372,0.03546,0.020679,1.7255,-0.18426,0.84749,-0.55103,-0.11455,0.41366,-0.20353,0.14998,0.22326,-0.091075,0.066997,-0.042074,0.14238,0.080335,0.4179,0.066422,-0.26527,0.036671,-0.24296,-0.097468,0.017297,0.037689,-0.090668,-0.1123,0.20352,0.080022,-0.05999,-0.027383,-0.028372,0.056672,-0.10565,-3.721e-16
"Cortx3",0.99251,1.3307,0.2261,0.17441,0.21891,1.1425,0.48706,1.091,-0.51153,-0.0089308,0.10246,-0.25768,-0.20374,-0.30181,-0.45434,0.029787,0.0079064,0.066378,-0.33142,-0.1263,-0.33814,0.10234,-0.14478,0.32974,0.092463,-0.020249,-0.082796,0.10528,0.16965,-0.19174,0.11953,-0.024419,0.032523,-0.097196,0.0098347,0.080851,6.5486e-17
"QCCortx 1",-0.30288,-1.781,-0.50647,-0.19204,-0.26487,1.048,0.40582,-0.28024,0.23671,-0.18386,0.0088646,0.54462,-0.1545,-0.18639,0.67483,-0.0016731,0.032218,-0.47763,-0.080122,0.42171,-0.040235,-0.087624,-0.26178,-0.027838,0.072167,0.037182,-0.25458,0.018595,0.15836,-0.02328,0.022231,0.17257,0.057342,-0.054148,0.066052,-0.0097558,-4.0549e-16
"QCCortx 2",0.22832,0.59258,0.58529,-1.0104,-1.0702,0.21012,0.28346,0.11904,0.52963,0.50529,-0.22912,-0.047946,0.28999,-0.16574,-0.044855,0.46121,0.40983,0.30171,0.12842,-0.064634,0.3596,0.04584,-0.24623,-0.13963,0.092612,-0.17986,0.15832,-0.06437,0.22712,0.011192,0.048853,-0.0061077,0.0049263,0.11272,0.15824,0.083983,-1.3444e-16
"QCCortx 3",0.070802,0.61755,0.8042,-1.0645,-1.0256,0.11076,0.28331,0.14141,0.34652,0.67252,-0.35572,-0.038547,0.21144,-0.28778,-0.16763,0.22927,-0.087346,0.059242,0.16669,-0.14216,-0.011553,0.0035848,-0.041956,0.050852,0.034285,-0.099868,-0.17565,0.017722,-0.24392,-0.11743,-0.038526,0.15831,0.064446,-0.078128,-0.099064,-0.2716,9.5193e-17
"QCCortx 4",-0.25668,0.42412,0.98356,-1.0201,-0.91904,0.0038471,0.36136,0.034662,-0.058951,0.47515,-0.10612,0.25066,-0.17247,-0.14662,-0.066731,0.12304,0.1751,-0.27369,-0.033642,0.13852,-0.072167,-0.086898,0.17019,-0.13789,-0.064179,-0.015286,-0.14016,-0.062238,0.1238,0.12341,-0.060403,-0.27114,-0.11044,-0.034577,-0.29923,0.087662,3.7253e-16
"QCCortx 5",-0.4157,0.24119,1.1404,-1.0521,-0.7841,-0.049256,0.39145,0.021625,-0.17026,0.46072,-0.3067,0.35408,-0.45558,0.011576,0.0082187,-0.023305,-0.04746,-0.33358,-0.098975,0.0040879,-0.0029764,-0.1884,0.27859,0.36838,-0.18058,0.079518,0.18476,0.015577,-0.22956,0.12459,0.122,0.024659,-0.013951,0.039595,0.19779,0.068542,-7.2858e-17
