"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"26",0.027492,0.015046,0.03533,-0.019789,0.021981,-0.08271,0.027917,0.0018614,0.031472,-0.016733,-0.0862,0.046074,0.0045558,-0.083127,-0.10395,-0.033538,0.044841,0.031381,-0.060483,-0.085211,0.10403,-0.023119,-0.041848,-0.092484,-0.064211,-0.056751,-0.115,0.018708,-0.083465,-0.074394,0.057611,-0.041996,-0.051409,-0.054591,-0.011339,0.091441,0.052912
"27",0.049954,0.077826,0.064583,-0.051574,-0.064552,-0.0067119,-0.066521,-0.01514,-0.03944,0.11286,-0.050423,-0.047061,0.19823,0.090487,-0.060065,-0.029308,-0.07078,-0.0020319,0.13414,0.12146,0.019729,0.014468,0.0281,-0.06158,-0.055858,0.016267,0.0058709,-0.031762,0.092703,0.018631,-0.059134,-0.10541,-0.048452,0.058441,0.095492,-0.01207,-0.066047
"28",-0.02462,0.040598,-0.025649,0.14515,0.0035755,-0.01453,0.14728,0.005395,-0.27151,-0.078704,-0.045689,-0.024623,-0.051703,0.063271,-0.17335,-0.034147,0.0262,-0.038492,-0.033304,0.046178,-0.040394,0.046403,0.027968,0.0386,-0.054776,-0.0085106,0.081071,-0.10068,-0.078106,0.031284,0.063372,0.020239,-0.043133,-0.080827,-0.045052,-0.036382,-0.050326
"29",-0.060606,-0.05422,0.0045223,-0.045058,-0.031952,0.14212,-0.064389,-0.39402,0.027872,-0.024124,0.032047,0.039616,0.020371,-0.11778,-0.046241,0.12133,-0.096428,-0.00052528,-0.10475,-0.067932,-0.096625,0.018669,0.020204,0.011701,-0.028943,0.090777,0.029246,0.049449,-0.025602,-0.066418,-0.12026,-0.0052772,-0.0046819,0.072966,0.078208,0.048992,-0.017689
"30",-0.075848,0.11699,-0.0045494,-0.017851,-0.013547,0.077338,-0.20269,-0.016483,-0.054253,-0.074363,0.010138,-0.16255,-0.03194,0.0072051,-0.023728,0.15035,-0.21304,-0.21593,0.019369,0.11733,-0.075343,-0.098581,-0.10318,0.0087116,-0.13968,0.067441,-0.010134,0.017467,0.21898,-0.054086,0.11298,0.20114,-0.044932,-0.093164,0.061621,-0.14002,0.10745
"31",0.036391,0.075213,0.12466,0.14837,0.19789,-0.28816,-0.022098,0.0072948,0.017921,0.0007524,0.053716,0.045897,-0.056135,0.014747,0.097936,0.064394,-0.026307,-0.11746,-0.035437,0.021178,0.014653,0.097307,0.017269,0.048368,-0.0064262,-0.022723,-0.032989,-0.097393,-0.023099,0.040574,0.011418,-0.086878,0.022729,0.00037695,0.085593,-0.086028,-0.03069
"32",-0.12606,-0.056449,0.081082,0.072785,0.047491,0.050581,0.054884,0.013675,0.036759,0.0089023,-0.13095,0.055161,0.055109,-0.045419,-0.010681,0.138,0.0026287,0.068728,0.070326,-0.034601,0.0037445,0.051561,0.024946,-0.02345,0.02358,-0.0046524,-0.032049,-0.057848,0.0024659,-0.016181,0.022663,-0.0095734,-0.030796,0.0049065,0.019071,-0.070133,-0.055533
"33",-0.10486,0.096338,0.059727,-0.12559,0.044461,0.035467,-0.0011801,0.028288,0.028056,-0.12881,0.0010984,-0.014395,-0.059174,0.064699,-0.0097892,0.085763,0.0040091,-0.092186,0.093333,-0.060629,-0.109,-0.10787,-0.083387,-0.091216,0.097966,-0.029572,0.12046,-0.097697,0.20156,-0.079089,0.070134,-0.14262,-0.0065499,-0.054105,-0.026284,0.091916,-0.044237
"34",0.046814,0.080659,0.12614,0.14137,0.20092,-0.31103,-0.021828,0.01035,0.01404,0.019481,0.041951,0.029875,-0.053653,0.042362,0.08468,0.099521,-0.084205,-0.10567,-0.021803,-0.0050026,0.0020803,0.017613,0.017226,0.060264,-0.072268,-0.022738,0.024194,-0.12843,0.042151,-0.0098128,0.0074177,-0.11466,-0.12913,-0.0081123,-0.11662,0.0098613,-0.10514
"35",0.0041652,-0.13744,-0.15292,0.015716,-0.063649,-0.14907,-0.060471,-0.061381,0.065953,0.078823,-0.10705,0.19664,0.042565,-0.089633,0.08634,-0.076135,-0.13568,0.028136,-0.082932,0.10876,-0.020385,-0.17499,-0.2442,-0.18817,-0.033642,-0.075831,-0.09089,0.041403,-0.098431,-0.078744,0.054876,0.011071,-0.090859,0.1779,-0.12752,0.10818,-0.025854
"36",-0.022824,-0.040889,-0.13051,-0.054929,-0.020627,-0.089352,-0.051931,0.048022,0.18152,-0.059806,-0.22138,-0.017765,-0.017706,0.15728,-0.025938,0.053115,-0.035672,0.091563,-0.18526,-0.25319,0.22808,-0.084784,0.14093,0.046177,-0.0056313,-0.048323,0.16611,-0.027848,0.0037649,0.092976,-0.015793,-0.020846,-0.036702,0.17933,0.22018,0.0024813,-0.0025086
"37",-0.14104,0.013187,0.10822,0.017683,0.005034,0.0226,0.054644,0.033876,-0.022507,0.093264,-0.089489,0.083941,0.063091,-0.01382,-0.068675,0.054117,-0.055165,-0.03721,0.0064907,-0.0065486,0.025035,0.0050489,-0.0064026,-0.020259,0.0029825,-0.033695,-0.013757,-0.046043,0.00037677,0.077444,0.046748,-0.048801,-0.054793,-0.057741,0.056657,0.033113,-0.12009
"38",-0.12627,0.071697,-0.051403,0.13222,0.020113,0.079833,-0.025031,-0.068439,0.11719,0.017296,-0.059382,0.072122,-0.00011543,-0.11051,-0.08392,-0.05005,0.037445,0.04829,0.13372,0.073166,0.06985,0.036376,-0.091485,0.048569,-0.0029575,-0.067504,0.075206,0.035266,0.20153,-0.00030499,0.13876,-0.045569,-0.048491,0.10181,0.017774,-0.073051,-0.032077
"39",-0.015907,0.011718,0.043838,0.054094,-0.11776,0.03318,-0.060853,0.053688,0.089622,0.1319,0.072863,-0.13886,-0.28737,-0.077148,0.12806,0.19609,-0.21651,0.22117,-0.21099,0.2155,-0.12554,0.19758,0.13289,-0.12354,-0.10259,-0.032659,0.062667,0.050813,-0.027712,0.0069974,0.065467,-0.10097,0.16218,-0.045924,0.10367,-0.056746,0.1447
"40",0.073596,-0.11243,0.17698,0.078557,-0.078474,0.11706,-0.023815,-0.18528,-0.021917,0.030055,0.074622,0.020235,-0.044406,0.014194,0.014501,0.080458,-0.062283,0.041235,-0.012495,-0.058169,-0.025665,-0.0013057,0.050785,0.11229,0.093687,0.15381,0.024428,0.014736,0.0013248,-0.010842,0.10268,-0.080865,-0.11693,0.054973,-0.041489,0.10929,-0.065247
"41",-0.064834,-0.12321,0.047664,-0.087091,0.011325,-0.17516,0.020112,-0.2019,-0.042811,0.1864,-0.017404,-0.11934,-0.066848,0.21533,0.0026466,0.11055,0.17582,0.147,0.04685,0.042778,0.072111,0.1138,0.098184,0.057818,0.024824,0.098808,0.031628,0.054947,0.034436,-0.17482,0.084796,0.051953,0.042839,-0.073859,-0.0050577,0.035418,0.20247
"42",-0.1776,-0.088526,0.066556,0.064891,0.018105,0.077564,0.042714,-0.0043883,0.065498,-0.00085924,0.015191,0.14278,0.064094,0.018961,0.004322,-0.018828,0.012708,-0.026595,0.0044721,0.083956,-0.14267,-0.03621,0.12631,-0.0093793,-0.0042912,0.017091,0.001292,-0.090212,-0.038537,0.044936,-0.07988,0.18603,-0.057581,-0.058413,-0.011304,0.061197,-0.059905
"43",-0.11765,0.025454,0.040058,-0.17594,0.11378,-0.033912,0.076273,-0.15296,0.079909,0.10818,0.041972,-0.065695,-0.080866,0.11664,-0.053918,-0.015219,0.014522,0.041955,-0.044603,0.039674,-0.13578,0.14189,-0.17431,0.0041195,-0.10278,-0.11503,-0.0041009,0.017706,-0.067667,0.075505,-0.00037888,0.12289,-0.093217,-0.021334,0.029265,0.034967,-0.10445
"44",0.079455,0.064231,-0.1232,-0.081774,0.10507,0.094511,0.10084,0.14217,0.16558,0.26252,-0.12205,0.094872,-0.057613,-0.16696,-0.20184,-0.097684,-0.024856,-0.21706,-0.32725,-0.099819,-0.014695,0.19553,0.037029,-0.052019,0.030789,0.1638,0.16574,0.16455,0.13515,0.12264,0.16847,0.052537,0.17491,-0.071844,-0.10836,0.0089174,-0.026452
"45",-0.013615,0.0087403,0.020437,-0.10334,0.093502,0.020788,-0.224,0.17517,0.026599,-0.11719,-0.073619,0.1042,-0.091815,0.14188,-0.049208,0.21572,0.038553,0.067353,-0.11192,0.017531,0.015501,-0.17786,-0.029243,-0.054743,0.18432,0.067361,0.13547,-0.065248,-0.10274,-0.041116,-0.11421,0.11749,-0.069088,0.11619,0.086954,0.03485,-0.034956
"46",-0.0091228,-0.087848,0.14069,-0.08421,0.084759,-0.035545,0.024969,-0.14015,0.01765,0.1855,0.03008,-0.06245,-0.06972,0.047199,-0.075296,-0.0052228,0.00372,0.15964,-0.047243,0.1049,-0.061612,0.072117,-0.087008,0.11886,-0.075104,-0.061204,0.086247,-0.0076239,-0.024528,0.11174,-0.087666,-0.032214,0.024832,0.12462,0.059538,-0.059926,-0.016352
"47",0.046435,0.031351,0.19437,0.051429,-0.029395,0.0047282,0.051218,0.060857,0.0060013,-0.036298,-0.024636,0.058478,0.12224,-0.010848,-0.044972,-0.06208,0.07158,-0.013047,-0.073524,-0.039605,0.012557,-0.0628,-0.034528,-0.023879,0.0048781,0.11066,0.021403,-0.011604,-0.04638,-0.041424,-0.041637,0.012682,-0.024666,0.054623,0.027723,-0.015336,0.07651
"48",-0.12432,0.10519,0.011661,0.12869,0.021016,0.056953,-0.026375,-0.025579,0.053114,0.070672,0.066688,0.039534,0.038945,-0.034714,-0.035856,-0.013577,0.0518,0.1187,-0.01005,-0.060512,-0.05251,-0.057963,0.035486,0.018721,-0.033999,-0.078791,0.026179,-0.034011,0.043053,-0.0269,0.011609,-0.081419,0.044418,0.025919,-0.22195,0.22077,-0.026625
"50",-0.0064455,-0.042375,0.068644,0.046319,-0.0043867,0.098509,-0.17774,0.06901,-0.069019,0.1183,0.081292,-0.011577,-0.045155,0.097941,-0.085576,-0.16782,0.054779,-0.11896,0.031736,-0.13013,0.038158,0.097105,0.020096,0.10217,0.071032,-0.0092398,-0.047376,0.047926,-0.14451,0.094292,-0.18941,0.16468,-0.068961,-0.082452,0.12589,-0.026058,0.05249
"51",-0.03075,-0.063548,-0.033715,-0.014651,-0.057371,-0.019627,-0.098693,0.027019,-0.034972,0.14407,-0.0077785,-0.027451,0.25991,0.092423,-0.23745,-0.051033,0.0041103,0.067248,0.026173,0.016944,0.053882,0.048209,-0.098558,0.089589,-0.18523,0.13203,-0.10441,-0.11278,0.07849,-0.12887,0.11341,0.059143,0.11709,-0.043147,0.0078311,-0.04032,-0.057048
"54",0.020017,-0.069772,-0.18936,0.059725,0.011794,-0.10017,0.04553,-0.017973,0.11267,-0.041964,-0.067187,0.0037389,-0.05723,-0.022134,-0.040241,0.062072,0.046586,0.020666,0.048476,-0.092445,-0.12702,0.10221,-0.0095721,0.081692,0.076707,0.0073851,-0.16562,0.042217,-0.012116,-0.017892,0.23503,-0.018646,-0.098929,-0.0096939,0.31162,0.14516,-0.011277
"55",-0.024998,0.021587,0.10125,-0.11391,0.088896,0.017028,0.049257,-0.00113,0.1021,-0.11187,-0.11556,-0.042994,-0.010936,0.0060472,-0.0054194,-0.036722,-0.0045369,0.042565,0.0010683,-0.017804,0.051241,0.056046,0.010617,0.10059,-0.042188,0.029994,0.0033263,0.065474,0.093636,0.032943,-0.031498,-0.12676,0.036526,-0.12846,-0.051172,0.042179,0.069279
"56",0.049923,0.02935,0.094516,-0.040881,0.076251,-0.019745,0.014979,0.0038199,0.012691,-0.0041924,-0.047792,-0.022548,0.023406,-0.10283,0.1006,-0.020144,0.063343,0.06515,0.025972,-0.074447,0.017488,0.067989,0.052951,0.10826,-0.027004,-0.090577,-0.01669,0.12606,0.03455,-0.10691,0.0022634,0.029224,-0.14859,-0.12615,-0.077943,0.12428,0.045691
"57",-0.050432,-0.079338,0.1246,-0.097559,0.0084129,-0.028455,-0.015516,-0.052957,-0.0095865,0.089707,0.05172,-0.031552,0.050237,0.0026008,-0.038804,0.028694,-0.17431,0.029472,-0.059526,0.071057,-0.089621,0.07866,-0.053778,-0.11118,-0.041879,-0.16462,0.034391,0.01216,-0.1157,-0.065999,-0.16558,-0.19601,0.15667,-0.051838,-0.11869,-0.12104,-0.098308
"58",-0.051668,-0.023289,-0.10866,-0.11006,0.11,0.021044,-0.16975,-0.050247,0.0091702,-0.072852,-0.087332,0.034846,0.0089948,-0.19214,0.079916,0.09925,-0.11287,-0.078007,0.21354,-0.073247,-0.05892,0.13527,0.0257,0.10864,-0.16342,0.1201,0.023341,0.036476,-0.27094,0.0017585,0.0033987,-0.0088015,-0.03821,-0.049311,0.046466,-0.007626,-0.028268
"59",-0.011297,-0.015148,-0.060358,0.11119,0.043595,0.092355,0.061106,-0.030521,-0.19704,-0.073056,-0.10572,-0.07849,-0.017666,0.08077,-0.039897,0.049573,-0.036884,0.082395,0.066268,0.071961,0.06845,-0.0217,0.020559,-0.091098,0.074038,-0.097287,0.02781,-0.0091054,0.014783,0.0056083,-0.10169,0.008482,0.20833,-0.043626,0.027697,0.048461,0.020765
