"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37"
"70",0.028289,-0.03814,0.14465,-0.094332,0.1005,-0.024285,-0.032336,0.007359,-0.011146,0.01629,-0.10082,0.043137,-0.02036,-0.15644,-0.023032,-0.055933,0.06012,0.03428,0.10022,0.04314,0.061076,-0.057849,0.044533,0.037888,-0.11648,-0.14086,0.075677,0.10064,0.049915,0.016875,-0.13595,-0.029711,-0.022264,-0.046302,-0.0032271,-0.035475,0.055687
"71",-0.024804,-0.069957,-0.046424,-0.096626,0.061478,-0.010515,0.0049282,0.028956,-0.15729,-0.14574,-0.012405,0.07049,-0.065028,0.068371,-0.042109,-0.10792,-0.10374,0.040494,0.016219,0.060046,-0.11141,0.12844,0.017854,0.061769,0.24533,0.057346,0.028271,-0.064396,-0.0037086,0.031094,0.11205,-0.067557,-0.06093,-0.11618,-0.0089702,0.011431,0.014631
"72",-0.11816,-0.031322,0.072798,0.073528,0.061563,0.054865,0.091677,-0.0017415,0.051076,-0.025756,-0.12263,0.062365,0.01108,-0.0088532,0.010898,0.14716,-0.048363,0.047798,0.063823,0.064341,-0.0014566,0.011895,0.059242,-0.00087461,-0.044236,0.046155,-0.034306,-0.022583,-0.05441,0.023791,-0.00092731,0.077681,-0.14258,-0.044284,0.074153,-0.073779,-0.048439
"73",-0.094579,-0.074716,0.038821,0.1238,0.072725,0.020644,-0.026168,-0.092329,-0.0087326,0.053012,-0.015296,-0.11307,0.013879,-0.071453,0.073122,-0.038378,-0.017836,-0.084804,-0.041508,0.019362,0.003977,-0.066219,0.028218,-0.024841,0.0060905,0.033112,0.0013513,0.014041,0.051738,-0.11951,-0.023412,0.0022524,-0.002946,0.052309,0.033853,0.092129,0.0026491
"74",0.010644,-0.098084,0.090418,-0.15594,0.055068,0.074404,-0.051765,-0.060902,-0.15412,0.022952,-0.071559,-0.075191,-0.044073,0.0021434,-0.077332,0.056741,-0.04092,0.01887,0.097629,0.0038048,0.016476,0.067082,-0.068357,0.11954,0.094403,0.15207,0.018176,-0.043446,-0.011418,0.044896,0.15967,0.18774,0.1317,0.10324,-0.18869,0.04654,-0.0043517
"75",-0.11361,0.014273,0.073063,-0.029314,-0.12731,-0.13573,0.04697,-0.018013,0.02889,-0.018241,-0.028073,0.0063774,-0.00041782,0.076494,0.012804,-0.057116,0.13037,0.1162,0.097437,0.063211,-0.084492,0.039617,0.001014,0.056752,-0.011152,0.10823,-0.091455,0.14667,0.10626,-0.022728,0.10131,0.027578,-0.020301,-0.082878,-0.07399,-0.082223,0.00812
"76",0.063732,-0.013604,0.038234,0.081034,0.01655,-0.025273,0.088473,-0.030798,0.065952,0.0013524,-0.095881,-0.038966,-0.038328,0.0074561,-0.024484,-0.047231,-0.089512,-0.054101,0.020459,0.0025253,0.051065,-0.033288,-0.061649,0.035062,0.067216,-0.01694,-0.038445,0.093593,-0.06505,0.0052407,-0.15463,0.10509,0.014656,0.10398,-0.031281,-0.014406,-0.016305
"77",-0.12215,0.040375,0.06227,-0.14914,0.040131,-0.048776,0.031303,-0.019076,0.078746,-0.0051955,-0.05689,0.02628,-0.018433,0.081922,-0.026853,-0.059993,0.024819,-0.013775,0.019504,0.033555,-0.065085,0.017741,-0.086679,0.031158,0.038796,-0.023486,-0.031185,0.070077,-0.039318,-0.049705,0.016737,-0.0037335,0.01634,-0.031673,0.059216,-0.015122,-0.088139
"78",0.087431,0.08715,0.061345,0.028859,0.027879,0.078622,-0.23081,-0.066954,-0.12589,-0.019105,-0.27518,0.17564,-0.088624,0.17251,0.095184,-0.062631,0.08567,0.075669,-0.1266,-0.038762,0.0078235,0.016457,0.017821,-0.094028,-0.20712,-0.047749,-0.10395,0.033616,0.093391,-0.052563,0.068783,0.10248,-0.13978,-0.039421,-0.11288,-0.14656,0.078596
"79",-0.0016983,0.062448,0.037632,0.026814,0.18807,-0.24902,-0.12827,0.024263,-0.015686,-0.05646,-0.0027376,-0.025444,0.054154,-0.17686,-0.14687,0.062511,0.0025005,0.0024818,-0.11691,0.14148,-0.039338,-0.097699,0.085366,0.04315,0.12555,0.017242,-0.04655,0.11725,-0.0031759,-0.0016049,-0.085548,0.099255,0.02592,0.039629,-0.039742,-0.040653,-0.077261
"80",-0.083627,0.058532,0.002091,-0.061449,0.03545,-0.071381,0.12522,-0.018132,0.030774,-0.064164,-0.06162,-0.04739,0.086962,-0.09894,-0.007494,0.028394,0.0054372,-0.024179,-0.091152,-0.021829,0.057431,0.017644,-0.048217,-0.038505,-0.037624,0.0035228,0.0057672,-0.069103,-0.085428,0.030719,0.10482,0.050469,-0.080285,0.054048,-0.058786,0.027845,-0.0029884
"81",0.064736,-0.13061,-0.02433,0.033056,0.038369,0.05692,-0.16115,-0.022477,0.0060146,-0.11995,0.036838,-0.0084412,-0.02976,-0.17242,-0.025386,-0.0625,-0.05155,0.055738,0.15338,0.013444,-0.020636,-0.0011679,-0.032021,-0.10002,-0.22784,0.10962,0.16377,-0.061441,-0.12416,-0.082376,-0.0091699,-0.11848,0.0068987,-0.068694,-7.2449e-05,0.074034,-0.011548
"82",-0.017173,-0.019261,-0.028498,0.044698,0.11126,0.12504,0.0061132,-0.064488,-0.015534,0.015978,-0.048566,0.11312,0.21413,0.055886,0.046873,-0.084277,-0.16435,0.25566,-0.027484,0.17024,-0.035495,-0.045238,0.14407,0.036606,0.018604,0.078495,-0.019966,-0.16839,-0.028396,0.29754,0.12212,-0.063672,0.032612,0.079052,0.054262,-0.0055328,-0.017935
"83",0.028292,-0.077621,0.11294,-0.11642,0.059099,0.0099376,0.018385,-0.054266,-0.052127,0.06861,-0.038262,-0.057343,-0.072912,-0.0027961,-0.15495,0.10179,-0.028636,-0.011719,0.010439,-0.0026235,-0.0031938,0.022057,-0.10661,-0.064562,-0.0018631,0.12121,-0.01202,-0.067765,-0.033895,-0.08184,0.05002,0.019663,0.086315,0.15691,-0.026242,-0.076865,0.049126
"84",-0.16016,-0.055685,0.073678,0.10155,-0.14829,-0.063155,-0.030705,-0.12909,0.01396,0.15459,-0.03118,-0.076838,0.012622,-0.095543,0.14168,0.014954,0.15296,0.10287,0.04403,-0.05531,-0.037025,-0.077276,0.018655,0.013696,-0.05006,0.23208,0.0031175,0.028331,-0.0033524,0.069559,-0.034451,0.076673,-0.20773,-0.0028409,-0.13657,0.040153,-0.085039
"85",0.080313,-0.12077,-0.071559,0.035766,0.060155,0.075184,-0.026509,-0.024763,-0.1161,-0.040484,-0.07072,0.072005,-0.061691,-0.17509,-0.054082,0.16955,0.0034631,0.13408,0.011515,0.10366,0.17484,0.10287,-0.082969,-0.025838,0.079101,-0.093291,-0.17281,0.066803,0.02496,0.22873,-0.066402,0.066418,-0.055691,-0.19726,-0.033734,0.019551,-0.028193
"86",-0.0018614,0.18289,0.038708,-0.070678,0.11339,0.22591,-0.091342,0.010958,0.045927,-0.10849,0.03768,-0.077249,-0.093673,-0.092273,0.045958,0.10277,-0.15877,-0.083535,0.026411,-0.061294,-0.12021,0.045293,-0.00045354,0.078063,0.14676,-0.17249,-0.10324,-0.0592,0.065243,0.032675,-0.017777,0.15388,-0.05401,0.14104,-0.093961,0.05215,-0.089363
"87",-0.030223,-0.030532,0.10531,-0.062733,-0.094302,-0.069636,-0.068458,0.03046,0.0051783,-0.090884,0.0043331,-0.04584,0.12524,0.04855,-0.028226,-0.037637,0.064004,-0.030946,-0.015647,0.081176,-0.059869,-0.029895,0.028052,-0.013515,0.074106,-0.10166,-0.024636,0.013473,-0.068437,-0.04029,0.1989,-0.066102,0.050959,0.12909,0.051915,-0.1564,-0.07017
"88",0.025709,0.052865,0.071391,0.11007,0.16551,-0.26627,-0.080189,-0.063172,0.029903,0.02605,-0.0027429,-0.046131,0.02047,0.0028133,0.11642,0.017094,0.011703,-0.030352,0.012598,-0.06404,0.0039948,0.062896,-0.030087,-0.027322,0.045139,0.070036,-0.041639,-0.0089398,0.021198,0.065436,0.0045399,0.030852,0.028383,0.052201,0.0037223,-0.065124,-0.012198
"89",-0.08973,-0.0043148,0.012437,0.060334,0.032024,0.079956,-0.14704,0.095479,0.081262,-0.0038873,0.065439,0.1653,-0.14705,0.10092,-0.025936,0.067749,-0.035702,0.07572,0.21154,-0.12405,-0.011932,-0.0026612,-0.074439,-0.062027,0.060697,0.058657,-0.054362,0.2105,-0.009988,-0.094179,-0.00064589,-0.080854,0.10079,0.013253,-0.039878,0.079768,-0.023028
"90",0.15347,-0.20167,-0.011675,0.022733,-0.022186,-0.022591,0.12002,-0.015672,-0.097373,0.0012896,-0.077962,-0.0047572,0.015953,-0.052438,0.02627,-0.014818,-0.0055525,-0.077521,-0.1069,-0.0078193,0.020288,0.0026178,-0.11857,0.023594,-0.013047,0.085898,0.024563,-0.038237,0.086098,-0.0018619,-0.10893,0.02479,0.097611,-0.15996,-0.0024608,0.032163,-0.064377
"91",-0.092253,-0.067048,-0.017358,0.09611,-0.211,0.0068918,-0.032032,0.45514,-0.0080091,0.091734,-0.24012,-0.24563,-0.10902,-0.043759,0.05917,-0.0052232,-0.0707,-0.027693,0.028328,0.12034,-0.10792,0.12707,-0.040305,0.03798,-0.068831,0.028122,-0.05617,0.066602,-0.019168,-0.025184,-0.076569,-0.043812,-0.159,0.14359,0.041161,0.082053,-0.067985
"92",0.099556,-0.072562,-0.0028038,0.066724,0.022263,-0.047665,0.033476,-0.027289,0.11222,-0.058637,0.0054595,0.022233,-0.049628,0.063248,-0.097217,-0.029097,0.0012748,0.02098,0.20807,0.1526,0.029995,-0.010721,0.0057414,-0.072886,0.012731,0.012518,0.04043,0.083815,-0.017451,0.068566,-0.062293,0.017309,-0.09442,0.050564,-0.018484,-0.086506,0.072522
"93",-0.023939,0.04726,0.15132,-0.10415,0.081475,0.032085,0.034317,-0.013841,0.091943,-0.082065,-0.077661,-0.028946,0.0017248,0.043676,0.0054937,-0.064233,0.010912,0.020975,0.01042,0.042168,-0.025775,0.0259,0.012171,0.061001,-0.003737,-0.01371,-0.01546,0.051068,-0.0088634,-0.086673,0.038673,-0.011491,-0.0067882,-0.11861,-0.012023,0.10529,0.087063
"94",0.019257,0.0049278,-0.0095991,-0.026233,-0.04816,0.010589,0.031353,-0.010971,0.02033,0.034778,-0.065451,0.027171,-0.018919,-0.063338,0.063396,0.095132,0.076439,-0.045058,0.019134,0.051996,0.0464,-0.056913,-0.012784,0.024593,0.069727,-0.10235,-0.10568,0.046102,-0.081,0.11882,0.018951,0.051493,0.039127,-0.018302,0.0070004,0.0080383,0.011549
"95",-0.16202,-0.027622,0.032844,0.083767,-2.2028e-05,0.011256,-0.00082165,-0.027738,0.0099454,0.0032375,0.0058219,0.056667,-0.048348,-0.015921,-0.072282,-0.056647,0.031783,-0.072116,-0.018655,-0.040901,-0.072268,0.05104,-0.028489,0.051348,-0.042713,-0.10649,-0.03956,-0.086825,-0.073672,-0.016874,0.01765,-0.031043,-0.014706,0.085798,-0.02121,-0.014752,-0.015807
"96",0.023623,-0.084671,0.057511,-0.061493,0.034734,-0.053076,0.052499,0.026001,0.011844,-0.01861,-0.0054693,0.0082984,0.0085926,-0.063703,-0.081133,-0.010743,0.032097,0.063341,0.099851,-0.037342,-0.0029078,-0.066078,0.034488,0.050564,-0.079253,-0.14671,-0.0040054,0.098629,-0.08074,0.186,0.018523,0.026031,0.015599,0.11695,-0.045855,0.015809,0.14583
"97",0.063657,-0.073949,-0.062742,-0.03542,-0.060684,0.044887,0.08771,-0.092001,-0.034481,0.0044482,-0.079438,-0.003064,-0.13864,-0.10788,0.033858,0.12622,0.18989,-0.12748,0.090229,-0.026196,0.015164,-0.060027,0.10706,0.0753,0.061459,-0.075446,-0.049266,-0.11437,-0.032159,-0.014377,0.098257,-0.064619,0.047467,-0.017259,0.026879,-0.16801,-0.01642
"98",0.16882,0.055983,0.14884,0.096891,-0.14273,0.10031,-0.019981,-0.11844,0.016056,0.060801,0.15087,0.064839,-0.067708,-0.011651,-0.16431,0.038682,-0.081318,-0.0069243,-0.1099,-0.13815,-0.063254,0.02132,-0.05698,-0.01713,0.062703,-0.085615,-0.020798,0.026185,-0.083668,-0.033944,0.15049,-0.10949,-0.14292,-0.057878,0.086624,-0.050432,-0.0043663
"99",0.10288,-0.10852,0.047149,0.053809,0.077003,-0.017145,0.067339,0.12164,0.029292,-0.14903,0.010307,0.11641,0.00016476,0.023705,-0.15357,-0.0024305,-0.045903,0.040993,-0.19147,0.047576,0.0051931,-0.07296,0.082018,0.012681,-0.17894,0.013353,-0.042435,-0.088209,0.034315,-0.14496,-0.078605,0.076016,-0.12029,-0.098317,0.11177,-0.12867,0.0079332
"100",0.19286,-0.0504,0.20058,0.12387,-0.0994,0.084477,0.045897,-0.14483,0.00653,0.048483,0.091318,0.053791,-0.027171,-0.04293,-0.15063,0.095776,-0.029626,-0.023937,-0.075093,-0.023343,-0.040175,-0.080509,-0.010548,-0.012839,0.081776,-0.035176,-0.057908,0.059951,-0.028604,-0.015029,0.11532,-0.030327,-0.06067,0.060951,0.074957,-0.0076769,-0.10673
"101",0.050926,0.064425,0.11225,0.1682,0.14745,-0.26396,-0.019144,-0.04919,-0.042278,0.0070761,0.024357,0.055452,-0.040412,0.059299,0.01624,0.033339,-0.075096,-0.066028,0.073087,0.032717,-0.032132,0.13555,0.026606,-0.031216,0.11108,0.13749,0.047688,-0.068961,0.014422,0.095311,0.040245,0.07671,0.067597,0.0099665,0.016375,0.081191,-0.082009
"102",0.019169,-0.025148,-0.076699,0.0043712,-0.011972,-0.01951,-0.064385,-0.065947,0.12383,0.041779,-0.10769,0.051476,0.20258,-0.0040211,0.00088135,0.22387,0.13885,0.095196,0.02823,0.018634,-0.22932,0.025041,-0.1654,-0.22941,0.079988,-0.085259,0.18174,-0.14026,-0.013366,-0.010974,-0.097293,0.15178,-0.01628,-0.17334,-0.084992,-0.088182,0.0038869
"103",-0.1505,-0.091753,0.041188,0.097555,0.052194,0.071217,0.010758,0.018742,-0.00052793,0.060644,0.0074432,0.056423,-0.027558,0.012066,0.030322,-0.053212,0.026266,-0.02708,0.0011528,-0.00090517,-0.030321,-0.056289,0.032857,-0.10469,0.089685,-0.016215,0.0083249,-0.036961,-0.0069121,-0.030224,0.06902,-0.0027328,0.089174,-0.14996,0.080213,0.019998,0.0052862
"104",-0.11381,0.085502,-0.056971,-0.061967,-0.0068719,-0.086695,-0.027921,0.010783,0.008462,0.11959,-0.086892,0.07457,0.022868,0.020071,-0.031352,0.099486,-0.16957,-0.10681,0.035573,-0.03477,-0.011664,-0.12032,-0.051433,0.20205,-0.13776,-0.05164,0.044972,0.086075,-0.18931,-0.041169,0.04041,0.10237,0.1254,-0.11913,0.010572,0.034945,-0.029032
"105",-0.13624,-0.02272,0.05987,-0.013856,0.018188,0.031428,-0.0081023,0.016735,-0.017813,0.044761,-0.0046362,0.021977,-0.020459,-0.039695,0.011289,-0.080959,0.002452,-0.12416,-0.0060863,0.0032418,-0.077235,0.0056883,-0.10643,0.023815,0.0061496,-0.064204,-0.084644,-0.080486,0.047473,-0.018575,-0.019218,0.021266,-0.16177,0.011402,0.11379,-0.04936,0.097414
"106",-0.015287,0.097794,0.21153,0.0094082,0.017106,0.064953,0.060509,-0.032492,0.082514,-0.15232,-0.089821,0.030308,0.11108,0.013989,-0.012646,-0.15027,0.022625,-0.028102,-0.030042,-0.062668,-0.028885,-0.0022465,-0.041659,-0.14178,0.054272,0.12674,0.019499,-0.066744,-0.053256,-0.0018989,-0.080483,-0.031756,0.18667,0.012499,-0.0147,0.035941,0.049025
"107",0.054406,0.0011423,0.080565,0.1038,0.025882,0.020857,0.082366,-0.00071175,0.069815,0.026678,-0.12615,-0.087069,-0.0094196,-0.058045,0.016935,-0.24903,-0.26975,0.25466,-0.10748,-0.053532,-0.019367,-0.10547,-0.36174,0.17356,0.22929,0.11348,0.049033,0.032951,-0.065804,-0.0091724,-0.019713,0.012408,-0.067475,-0.095022,0.016212,-0.17913,0.046715
"108",-0.13177,-0.052787,-0.0048431,0.096498,0.014744,0.022858,0.022029,-0.035346,-0.0024854,-0.09795,0.0029964,-0.020321,-0.046278,0.042942,0.010362,-0.092402,0.012427,-0.066453,-0.047949,0.041615,-0.061944,0.12476,0.0060413,0.040155,-0.073896,-0.1935,-0.10191,-0.10808,-0.016823,-0.014333,-0.045118,-0.017607,0.075882,0.04605,0.011465,-0.012863,0.0051897
"109",-0.0047306,0.080864,-0.0096385,-0.0016698,0.1362,-0.16157,-0.14317,0.033109,-0.091234,-0.035235,0.062395,-0.0031708,0.05406,-0.12519,-0.12448,0.061621,0.039537,0.055987,-0.018055,0.070413,-0.041569,-0.071945,0.078825,0.012077,0.13624,0.082148,-0.099953,0.2045,-0.020799,0.012288,-0.0058328,0.083141,0.11254,-0.050777,0.10545,-0.0095571,0.027939
"110",0.059012,0.057439,-0.034155,-0.029778,-0.044044,-0.072746,-0.063155,-0.070662,0.094804,0.18659,-0.21199,-0.0076977,-0.32766,-0.19327,-0.17349,-0.30401,0.016393,-0.029088,0.14201,0.16897,0.013161,-0.067508,0.15722,-0.089276,0.061705,0.018885,0.063045,-0.2565,-0.066722,-0.03215,-0.004972,0.13087,-0.064256,-0.0076262,-0.048445,0.12758,-0.020108
"111",0.043866,-0.0088637,-0.022349,0.058366,0.049399,-0.028836,0.02196,-0.011825,0.12052,-0.069014,0.022538,-0.046205,-0.12096,0.11454,0.045084,-0.030802,-0.042288,0.066565,0.012389,-0.05924,-0.0263,-0.18048,-0.1642,0.089179,-0.02215,-0.015537,0.18208,-0.10716,0.11533,0.17546,0.060835,-0.021483,0.01704,-0.15783,0.10806,0.16331,-0.040439
"112",-0.01417,-0.012841,-0.13727,0.022974,-0.05097,-0.10108,0.089846,-0.066147,0.0040394,-0.032511,0.0037675,-0.0336,0.09172,0.029084,-0.12187,0.0049758,-0.027732,-0.096786,0.13322,-0.11224,-0.12238,-0.12621,-0.0098559,-0.028119,-0.12257,-0.019291,-0.084842,-0.0025805,-0.0558,0.14741,0.15897,-0.045946,0.20983,-0.073046,0.0082384,-0.027419,0.10426
"113",0.013387,0.013223,-0.030154,-0.01174,-0.05131,-0.028714,0.039519,0.010833,0.026185,0.020007,0.11303,-0.019423,0.033531,-0.038067,0.064784,0.044529,0.10954,-0.087687,-0.047898,-0.0021912,-0.153,-0.017963,-0.0033487,-0.054873,0.046583,0.015786,0.40744,0.082219,-0.12749,0.073026,0.076427,0.072401,-0.22142,-0.055796,-0.11657,-0.2286,0.11112
"114",-0.0073289,-0.039343,0.063283,-0.049192,0.02384,0.022937,0.017967,0.005789,-0.043665,0.018157,-0.054129,-0.12466,-0.041664,0.04595,-0.26087,0.043167,0.054827,0.0069919,0.0055291,-0.0057501,0.0050725,-0.10241,-0.0060272,-0.0052208,-0.119,-0.028541,-0.011208,0.077187,0.069271,0.21507,0.044362,-0.088635,-0.17582,0.0032256,0.088003,0.059987,-0.033812
"115",-0.15689,0.013542,0.03895,0.0069772,0.014731,-0.0067689,0.030892,0.031259,-0.053788,0.071111,-0.0075151,0.053054,0.05878,-0.10432,-0.044522,0.062074,0.015183,0.030269,-0.047047,-0.10851,0.018162,-0.024688,0.0062965,-0.063069,-0.031337,-0.039524,0.040681,-0.098088,-0.00074174,-0.027276,-0.041124,0.14165,-0.004729,0.11071,-0.05563,0.054534,0.094588
"116",-0.1199,-0.0015298,-0.048929,0.079709,0.051116,0.008843,-0.015453,0.012064,0.047793,0.011852,0.018406,0.11543,-0.021695,-0.047168,-0.042213,-0.083062,-0.031267,0.17644,0.0070038,-0.033846,0.018913,0.024345,0.02328,0.038519,0.076588,-0.094518,-0.1352,0.030644,-0.025067,-0.10716,-0.010751,-0.0077987,-0.011235,-0.13545,-0.061924,-0.25919,0.086039
"117",-0.1409,-0.027239,-0.042413,0.087598,0.020245,-0.052362,-0.021862,-0.0018372,-0.10095,0.04691,-0.029596,0.053892,-0.10437,-0.0023819,-0.081507,-0.063071,0.018657,-0.035099,-0.07186,-0.002397,-0.061719,0.014942,-0.038261,-0.043854,-0.022972,-0.060668,-0.034581,-0.048356,0.14401,0.075706,0.0016428,-0.068438,0.094087,-0.023937,0.02814,-0.012755,-0.058121
"118",-0.0592,0.089739,0.0089017,-0.062156,-0.21879,-0.17098,-0.0089974,-0.1919,0.10561,-0.10843,0.044759,0.092088,-0.19714,-0.031195,-0.12262,-0.05383,-0.16141,-0.020382,0.057388,0.072969,0.12155,0.043358,-0.024453,-0.098135,0.032645,-0.034652,-0.067041,-0.0075256,0.021154,0.029683,-0.17837,0.079868,0.011086,-0.089419,0.14214,0.057959,0.035557
"119",-0.010424,-0.1017,0.048663,-0.039183,-0.090091,-0.088636,-0.053408,0.048894,0.044737,-0.071576,0.013997,0.034598,0.062652,-0.0067461,-0.047696,-0.058272,0.0066589,-0.0098518,-0.002773,0.13343,-0.15408,0.012705,0.022911,0.083907,0.13661,-0.19625,-0.047788,0.09092,0.026399,-0.060652,0.14378,0.026392,0.01552,0.058213,0.0093684,-0.036366,0.01132
"120",0.064641,-0.02775,-0.033074,-0.053123,-0.10115,0.0094348,0.043639,-0.11415,-0.032702,-0.017558,-0.04742,0.025033,-0.097122,-0.11305,0.0075569,0.10899,0.12621,-0.084438,-0.014116,0.071492,-0.0034581,-0.0066475,-0.027421,0.066054,0.10892,-0.0033614,-0.043193,-0.079488,-0.15468,0.012798,-0.057449,-0.032908,0.01374,-0.022059,0.01578,-0.024798,-0.025229
"121",0.092542,-0.12667,0.014296,0.062899,0.040655,0.023189,-0.08862,-0.044003,0.059365,-0.10159,-0.0096843,-0.11047,0.048807,0.099835,-0.10209,0.033711,-0.11347,-0.010522,-0.037269,-0.01098,-0.086864,-0.17387,0.071408,-0.057288,-0.13792,0.043865,-0.013843,0.16179,0.055413,0.059409,-0.022149,0.095976,0.061844,0.11792,-0.083049,0.00087569,0.04509
"122",-0.008942,-0.01229,-0.017695,0.048195,0.045066,0.067357,-0.028231,-0.0070992,0.11141,-0.034871,-0.11832,0.026961,0.16337,0.046899,-0.025688,-0.04137,0.0020716,-0.18146,-0.0032264,-0.014153,-0.059641,0.23249,0.19152,-0.13702,0.072508,0.17894,-0.13297,0.099982,-0.21245,0.036987,-0.0051007,-0.17888,-0.088962,0.045824,-0.073945,-0.034803,0.010459
"123",0.019656,0.0034397,-0.0068097,-0.018392,-0.039233,0.012584,0.019533,-0.0045305,0.011138,0.04919,-0.051831,0.042436,-0.033663,-0.055459,0.0021522,0.050587,0.03963,-0.052999,0.022736,0.037566,-0.037688,-0.059981,-0.020637,0.029521,-0.016273,-0.03411,-0.039027,0.029977,-0.023729,0.056352,0.10059,0.058388,-0.021247,-0.010162,-0.049548,0.0022153,-0.0086826
"124",-0.1738,-0.048915,0.035576,-0.027775,0.02489,0.01505,-0.039566,-0.015674,-0.050282,0.060383,-0.004063,0.10705,0.036316,0.019087,0.037186,0.043754,-0.01944,-0.076049,0.0056979,-0.089632,0.093942,-0.02874,-0.086546,0.040422,-0.043688,-0.027014,0.068834,0.070294,-0.14297,0.059681,0.089529,0.11504,0.11523,-0.081417,0.16747,0.053766,0.049636
"125",-0.072725,-0.048551,0.12087,0.033735,-0.30246,-0.10558,-0.09837,0.0018936,-0.056239,-0.15016,-0.039137,-0.0062776,0.036466,-0.032462,0.030527,-0.018846,-0.12519,-0.004497,-0.047931,-0.073236,0.1468,0.069273,0.10454,0.062175,0.047393,0.053338,0.030444,-0.07743,-0.027183,0.063275,0.00036881,0.053697,0.014541,-0.13664,-0.057228,-0.0042267,0.018046
"126",-0.087761,-0.037911,0.12235,0.046993,-0.29863,-0.10919,-0.12693,-0.021711,0.0029872,-0.13308,-0.10715,0.028539,-0.0034017,-0.047548,-0.049252,0.052038,0.046099,-0.018959,-0.053721,0.0076039,-0.0015932,0.044689,-0.072226,0.030959,0.0057572,0.042758,0.048559,-0.083697,0.16894,0.076627,-0.00084679,-0.0089975,0.058964,-0.03451,-0.0031022,0.16632,-0.03047
"127",0.069383,-0.20862,-0.022238,-0.022796,0.0075915,-0.019118,0.089846,-0.06258,-0.13936,-0.091848,-0.055264,-0.10673,-0.011683,-0.039383,0.018614,0.021103,0.020767,-0.075092,-0.13509,-0.073452,-0.049772,0.019282,0.026024,0.037051,-0.045415,0.032529,-0.023363,-0.040485,0.0026691,-0.050524,-0.054565,0.10559,0.020937,-0.015748,-0.032261,0.10029,0.0022083
"128",-0.044419,0.026044,-0.058627,0.16178,0.060794,-0.0012623,0.091922,-0.00044961,-0.20707,-0.098341,-0.040867,-0.12918,-0.033419,0.036192,-0.14916,-0.0023901,0.03824,0.072672,0.022089,-0.014168,-0.061454,0.030139,0.052444,-0.010222,-0.016858,-0.046371,0.12846,-0.0045427,-0.066191,0.022388,-0.025054,0.010226,-0.01506,0.096892,-0.045582,0.0025733,-0.013186
"129",-0.0044434,-0.0053238,0.1123,-0.086152,0.064088,-0.0069325,-0.0075533,0.047021,-0.010666,-0.054962,-0.095004,-0.028674,0.078224,-0.10914,0.021537,0.050637,-0.0026698,0.041017,-0.12759,0.0261,-0.012696,-0.044396,-0.06537,0.11565,0.032089,0.040278,-0.050001,-0.096595,-0.0048888,-0.11311,0.16097,-0.10615,-0.099527,0.0019858,0.0098748,0.10227,0.048213
"130",0.078238,-0.16055,-0.038616,-0.11009,0.065299,0.042507,-0.14488,0.040472,-0.1181,0.051421,-0.03416,0.049859,0.023575,0.040039,0.049754,-0.060399,-0.15633,0.041606,0.096864,-0.010784,-0.00036322,-0.045363,0.069072,0.059758,0.16601,0.051189,-0.12339,-0.11524,0.10309,-0.055156,0.022603,0.010224,-0.053152,-0.10829,-0.082688,0.016788,0.048222
"131",-0.1776,-0.051176,-0.017303,0.090291,0.048935,0.032311,-0.021255,-0.040573,-0.056044,-0.063217,-0.043251,-0.0043976,-0.027773,0.003832,-0.028706,-0.052151,0.15274,-0.00077152,-0.083739,-0.030762,0.016626,0.019614,-0.021153,0.029224,-0.0067933,-0.12075,0.089748,0.060757,-0.025152,0.040543,0.0047781,0.038069,0.024896,0.069472,-0.007557,-0.032271,0.038935
"132",0.1174,-0.063152,-0.027278,-0.020634,0.037046,0.036183,-0.092934,0.052975,-0.10168,0.042045,0.068908,-0.0056914,0.08314,-0.0035821,0.061685,-0.066382,-0.0048313,-0.025796,-0.03596,0.00068356,-0.042885,-0.015096,0.072606,-0.048104,0.027531,-0.041976,-0.017043,-0.1531,-0.19791,-0.078213,0.091916,-0.058813,-0.080612,-0.11769,0.074061,0.072643,0.075836
"133",0.11415,-0.17117,0.13238,0.12119,-0.025248,-0.055263,-0.047605,0.28048,-0.076769,0.20038,-0.030194,0.0037414,-0.063684,0.082374,0.10373,0.11972,0.033869,0.033928,0.1521,-0.10391,-0.095981,-0.068292,-0.19539,-0.066478,0.004517,-0.032665,-0.016305,-0.0038096,-0.055774,0.14355,0.05051,-0.058803,0.07941,-0.018219,-0.03381,-0.00052297,0.071849
"134",0.08312,-0.069452,0.036013,0.046185,0.024829,0.036909,-0.09444,0.0051707,0.023487,0.012401,0.020471,0.085282,-0.038907,0.016275,-0.069994,0.044548,0.046745,-0.012135,-0.019136,0.066436,0.0094339,-0.085888,0.087227,0.11211,-0.0012507,-0.16433,0.083672,0.092754,0.027171,-0.24878,0.051654,0.04504,0.10067,-0.014005,-0.026878,0.122,-0.082345
