"Based on noiseRem,RT,Repeat Rem",,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
Accepted Compounds,Cleaned Names,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
70,PC(16:1/16:1),0.337512324,0.138316628,0.594202827,-0.130126602,-0.062884603,-0.070682585,0.104393655,0.524033594,0.590684349,0.152354659,0.67344981,0.62276602,-0.110868438,0.240817699,0.436915567,0.207084455,0.181439329,0.534648464,0.259982535,0.416261872,0.078210263,0.092725115,0.571667122,0.363661188,0.366939158,0.298690672,0.20542955,0.587016974,0.294359187,0.357762127,0.042327335,0.26063278,-0.25358648,-0.331215148,-0.426649332,-0.541712624,-0.454559612,-0.514633915,-0.901168194,-0.385374826,-0.56578935,-0.325304944,-0.174561686,-0.637380626,-0.180272722,-0.728750916,-0.059131997,-0.094145918,0.084709815,-0.438326105,-0.128984906,-0.175276078,-0.276792966,-0.244186046,-0.22796396,-0.584119097,-0.133945723,-0.033819499,-0.270897513,-0.305660548,0.057821084,-0.792893194,-0.212963393,-0.086137295,0.231792147,0.43161492,0.463629849,0.493815624,0.530180731,-0.353852746,-0.252566462,-0.218568787,-0.278736341,-0.29258936,0.017120599,0.085619498,0.091034039,0.119736206,0.115720769
71,SM(d14:0/26:1),0.145459626,-0.065863856,0.533770996,0.039950318,0.046670116,-0.165598861,-0.137378669,0.388421761,0.071302325,-0.293207113,-0.049479312,0.098339326,0.469499198,-0.01209663,-0.226090844,-0.128148902,0.310631666,0.163860033,-0.074665253,0.124389108,0.166629351,0.10325804,0.022938201,-0.103167171,0.302903939,-0.05390186,0.200152767,0.317043953,-0.152289901,0.180172775,0.006660334,0.105056811,0.600286065,-0.111041419,-0.324093816,-1.38860605,0.591408463,0.035430246,-0.87140039,0.53244733,0.134578066,-0.343424588,-0.184269329,-0.134236283,-0.299884707,-0.2645381,-0.639947214,0.013963689,0.087627189,-0.000962888,-0.31186544,0.404787748,0.671813196,0.337893736,0.194695741,-0.03188653,0.382570175,-0.129797334,-0.10192067,0.646588518,0.662197591,-0.535242738,0.555066486,0.489166825,0.18421698,-0.286791045,-0.193254813,-0.03639247,0.043716302,-0.042772431,-0.308919824,-0.471021691,-0.344978379,-0.301638593,-0.08166894,-0.32204126,-0.374341497,-0.272544533,-0.194193649
72,PC(18:1/24:0),0.281945264,0.151968081,-0.010879953,-0.21760417,0.016040105,-0.113114695,0.197749898,0.208317283,0.3921948,0.096497419,0.169194503,-0.100396655,0.56530739,0.248634218,0.339277652,0.23447459,0.44021541,-0.42361355,0.427068605,0.039550651,0.211942208,-0.209686293,0.290117726,-0.806047726,0.168451349,0.507359988,-0.044443668,-0.122908421,-0.026435221,0.028862467,-0.329620058,-0.037102267,0.202398873,-0.002340004,-0.053533356,-1.441574942,0.057767733,0.049937182,-0.577402755,-0.195478098,-0.264161761,0.208776677,0.120643906,-0.297252473,-0.132010782,-0.476920557,-1.251288512,-0.013426145,0.280517944,0.283608243,0.197270259,-0.004740935,0.295265297,0.230671213,-0.095401789,-0.190156364,0.289623041,0.135514629,0.143863989,-0.009859436,0.327084136,-0.452923963,0.161005632,-0.038016584,0.256185851,0.04837594,0.122888083,0.075066198,0.176960089,-0.081016269,-0.060932702,-0.137961287,-0.227422645,-0.248832038,0.080464175,0.058206091,-0.001114027,-0.061864659,-0.059780028
73,Cer(d18:2/24:0(2OH)),0.363522096,0.305585264,-0.191120454,-0.023860582,0.118237239,-0.20057245,0.466466975,0.239477282,0.22742852,0.322095171,0.136395702,0.014476626,0.310666388,-0.081032671,0.264291728,0.207114531,0.481135494,-0.024319113,0.291262723,0.155191683,0.047411673,-0.244278313,0.248269094,-0.651923742,0.304012601,0.375781866,0.032772744,-0.004933305,0.319804717,-0.054510379,-0.430046019,-0.121566383,0.185077029,0.457353978,-0.081218665,-0.92863943,0.12959971,0.120360726,-0.802790001,0.205114638,-0.070207929,0.194157147,0.280878411,-0.244227931,-0.167576553,-0.717929776,-0.910671407,0.080695243,0.363926234,0.257562005,0.454900997,0.163536004,0.051173234,0.048619584,-0.207731232,-0.106391523,0.52925459,0.407558903,-0.018091024,0.233125724,0.303690867,-0.586432905,0.144396538,-0.15059216,0.265654071,-0.175005495,-0.168685504,-0.071083395,-0.036439324,-0.052965489,-0.308264466,-0.447576515,-0.37687732,-0.398920335,-0.027958324,-0.255962576,-0.339991205,-0.232957423,-0.194684431
74,LysoPC(18:0),0.319656972,0.071232414,0.599064482,0.061405785,-0.171768867,-0.336217487,-0.087051978,0.544946911,0.365614242,-0.046046198,0.297589703,0.632059275,0.02638399,-0.125325628,-0.100937006,-0.095807185,0.623025857,0.350347459,0.112708254,0.626750159,-0.164173207,0.001641552,0.044680367,0.046930276,0.301774565,-0.077969385,0.005363489,0.386016454,0.110320572,0.320368895,0.017851541,0.204062805,0.273935663,0.190260556,-0.098393898,-0.606651807,-0.122207827,-0.775442345,-0.965046324,0.013118945,-0.178575717,-0.397265034,0.111926673,-0.269462028,-0.17458944,-0.718067221,-0.225133014,-0.182593363,0.424435214,-0.437044552,0.011230552,0.063085411,-0.001180311,0.025765002,-0.315522391,-0.446474019,0.292054209,0.23886903,-0.261644146,0.116286702,0.220086955,-0.731067724,-0.043880036,-0.282558623,0.278704942,0.215501316,0.326019142,0.259415602,0.388584063,-0.125770529,-0.132336601,-0.253352962,-0.299198396,-0.320017385,0.088515927,0.035803485,-0.014663,-0.028609692,-0.031350084
75,DG(16:1/22:5),0.547060615,0.284307956,0.559967638,0.347313628,0.253094609,0.428524504,0.485669684,0.536025279,0.237472445,0.358775263,0.287338979,0.412826537,1.144266185,0.310014693,0.64930976,0.578148237,0.337212702,0.155922156,0.34245696,-0.136930397,0.659079926,0.010712323,0.370495331,-0.170662958,0.169612666,0.178314794,0.101615446,-0.078845725,0.261844377,0.216101256,-0.351396603,0.08434672,-0.06195387,-0.440755785,-0.331602388,-0.732698938,-0.261507222,-0.310041568,-0.362812512,-0.215655021,-0.557991448,-0.389049394,-0.474301023,-0.657183491,-0.019416038,-0.564932408,-0.854226292,-0.075770051,-0.113175165,-0.887952576,-0.263371449,-0.349906261,-0.52712193,-0.390580782,-0.452691043,-0.100199145,-0.493145277,-0.510500392,-0.374780916,-0.167136402,-0.221363203,-0.62968198,-0.223591288,-0.502545779,0.242425385,0.485442963,0.536191051,0.578832262,0.530378751,-0.203216636,-0.166467284,-0.17511757,-0.128851831,-0.058091356,0.200993569,0.174368685,0.326940363,0.286957293,0.316860405
76,LysoPE(22:6),0.129851094,0.052206406,0.08799744,0.164750589,0.239479659,0.273192735,0.107092703,0.157221562,0.170486101,0.148814724,0.126656824,0.231531016,-0.757072189,0.333280947,0.092224328,0.286262798,0.088011935,0.194566706,0.287413112,0.185735404,0.19140781,0.240221141,0.306504855,0.257314796,-0.01036611,0.290115401,0.155081992,0.117461626,0.06440378,0.100799468,0.054158523,0.134168803,-0.132043399,0.037830778,-0.226554151,-0.51371843,-0.280466794,-0.299096943,-0.44053437,0.018119,-0.235838083,-0.049242422,0.063055363,-0.336651606,-0.187161408,-0.374629617,0.032019094,-0.258964054,0.092120172,-0.409154419,0.049616417,0.01558485,-0.182708443,-0.018524556,-0.157258439,-0.081623464,-0.033106454,0.131280585,-0.156489757,-0.047472341,-0.14488246,-0.046389808,-0.058840366,-0.122971415,0.15320078,0.064698115,0.181779823,0.03785478,0.10975342,-0.187553832,-0.163267014,-0.192626002,-0.071856909,-0.03663465,-0.049973676,-0.046856375,0.054506829,-0.03936523,0.040060899
77,PC(22:6/22:6),0.59165233,0.086863695,0.399609062,-0.081871321,0.080602623,0.115292227,0.297375181,0.513519847,0.373294421,0.168026883,0.301291416,0.389714809,1.565387453,0.345419379,0.428820263,0.424454228,0.158237516,0.236940217,0.546773671,0.318034074,0.349780325,0.110096842,0.4391215,-0.004038616,0.083497421,0.354043875,0.069841712,0.242938948,0.112380679,0.265853126,-0.233996973,0.175135387,-0.15470666,-0.086429013,-0.541444568,-1.162103758,-0.460371348,-0.364994239,-0.816672698,-0.234629609,-0.54915091,-0.471367258,-0.291720629,-0.67540017,-0.162453243,-0.775432263,-0.731402088,-0.224319147,0.13256715,-0.752531386,0.001511925,-0.280001893,-0.40415974,-0.206721762,-0.137012318,-0.30124967,-0.074690444,-0.158955558,-0.359957063,-0.261955728,0.069569689,-0.729938512,-0.006131548,-0.286364661,0.290157705,0.450432783,0.532222087,0.50318551,0.59224144,-0.262323468,-0.204486485,-0.17986376,-0.22949815,-0.235815158,0.125877602,0.170765357,0.26847206,0.178390719,0.234768674
78,DG(22:4/22:6),-0.982343014,0.079116069,0.298244753,-0.073099436,-0.035345848,0.234904085,-0.153723896,-0.334963708,0.136123594,0.48539,0.73361584,0.282510084,-0.360059958,0.241978367,-0.014670594,0.209343398,-0.160399432,0.417350632,0.210892707,0.399343616,-0.432341587,0.182778958,0.182366022,0.369401565,0.257875759,-0.411727669,-0.236009913,-0.003441199,0.069508272,-0.060846891,0.432779292,0.133035575,-0.407911968,-0.268476946,-0.268731828,-0.215644911,0.136748446,-0.48795849,-0.244687355,-0.173111576,0.202467446,-0.351136661,0.497816659,0.575126233,-0.07685752,0.11371818,0.332934495,-0.375226855,-0.627906475,0.393735941,-0.000991295,0.374605296,0.090248417,0.189197154,0.35217898,-0.419202586,-0.55037431,-0.745536628,0.37900588,0.077898254,0.412051122,0.174089095,-0.090421476,0.250473836,-0.056108972,-0.043179312,0.013209014,0.085416858,0.085699434,0.029368009,-0.084681539,-0.159992756,-0.339937816,-0.49261203,0.099907064,0.007267045,-0.094800728,-0.215046353,-0.180211913
79,PC(O-22:2/20:2),-0.030773877,-0.228198196,0.11316097,-0.64000671,-0.664549035,0.173258718,0.228384721,-0.329587874,-0.225305801,-0.053562218,0.167244559,-0.236605451,-0.045299032,0.055996147,0.037779637,0.29453815,-0.535706306,0.126957133,-0.137997755,-0.046121963,0.070265915,-0.243565516,0.200796097,-0.038368994,-0.11262437,-0.156917435,-0.14929455,0.571125355,0.278377145,0.023442068,-0.401092686,-0.129851881,-0.228797078,0.11319514,0.130712209,1.405197831,-0.195538615,0.058095232,0.736708605,0.108846869,-0.195557657,0.470467017,-0.185441536,0.032947146,0.427357183,0.263087906,0.291966421,-0.015538696,0.108066186,0.068537675,-0.097011907,0.244547816,0.037928832,0.150431373,0.430147245,0.110632308,-0.141672398,0.055856945,0.027795304,-0.234787175,-0.147029364,0.276336618,-0.166150266,0.071894989,-0.601215752,-0.400114937,-0.252934051,-0.269745295,-0.295847885,-0.006874659,0.132056212,0.174639555,0.121997444,0.020732818,-0.129779466,-0.141251485,-0.089406661,-0.080111489,-0.131273474
80,PE-NMe2(22:6/18:0),0.348725157,0.193087519,0.094299271,0.047291915,0.225148714,0.222592314,0.295544978,0.384333284,0.163867162,0.120471649,0.085494127,0.174186665,1.042814598,0.38540691,0.445633188,0.53193256,0.151750746,-0.030319219,0.456459189,0.129033217,0.493804444,0.174947259,0.283904496,-0.03758538,-0.096715451,0.359228992,0.134659043,0.635332813,0.030827426,0.253303451,-0.066806092,0.195499881,-0.252193039,-0.14492773,-0.494495895,-0.947115094,-0.401284256,-0.034326701,-0.514171348,-0.190901023,-0.384903909,-0.241044574,-0.345470464,-0.629254588,-0.041794025,-0.615992003,-0.58843348,-0.122459934,0.048719895,-0.663763857,-0.011749005,-0.35366587,-0.390805521,-0.231473052,-0.251008425,-0.139159881,-0.218350545,-0.222762212,-0.407637765,-0.250081926,-0.039821177,-0.612345807,-0.075513262,0.244195862,0.15041967,0.378521838,0.378313108,0.348608832,0.344626851,-0.234293803,-0.132349459,-0.108133313,-0.141993295,-0.10779204,0.093082206,0.163609346,0.161591583,0.201746794,0.199877468
81,PE(16:0/20:4),0.241317757,0.412217082,0.106520998,0.301310975,-0.001929268,-0.024520917,-0.297049562,0.135408914,0.495658524,-0.03446336,0.435441334,0.219662497,-0.621239392,-0.164049344,-0.191827798,-0.298265861,0.203567828,0.396490875,-0.314332601,0.161541623,-0.121066581,0.0082206,-0.089390877,0.106293527,0.501716794,0.088112547,0.334976222,0.247778489,0.275129357,0.010467969,0.22250935,-0.119364531,0.233131817,0.164149535,-0.128267784,-0.376179671,-0.114932258,-0.590049409,-0.428197092,0.085682824,-0.103430818,-0.075600604,0.131092097,0.143773545,-0.01839749,-0.301331951,0.32025789,-0.055144252,0.522167146,-0.116523824,0.128634994,0.091330532,-0.07863359,0.336603692,-0.230195284,-0.031851177,0.34305158,0.450778032,-0.106744507,0.097274148,-0.320269706,-0.370349577,-0.102746544,0.026924356,0.18767317,-0.220889972,-0.231808327,-0.218827709,-0.203898318,-0.024642435,-0.208165203,-0.175413022,-0.405675694,-0.074646703,0.12024744,-0.172680944,-0.286212556,-0.059928737,-0.17798081
82,HexCer(d18:1/18:0),0.023646716,-0.029499742,-0.004130624,-0.084743587,0.100953473,-0.222992081,-0.075927863,-0.297362649,0.182154409,0.221062264,0.000703599,0.026991197,0.098047436,-0.090243858,0.150527517,-0.21077483,0.258618953,-0.048699635,0.24020357,0.21200574,0.11105893,0.20847694,0.123090214,-0.346229936,0.275064686,0.363865019,-0.286158816,0.16789033,-0.231880782,0.103699691,0.345801163,-0.102760969,0.045403441,-0.022088276,-0.066798463,-1.008563115,0.731458199,0.609306959,-0.386310911,-0.10222829,0.265491954,-0.181213024,0.345469657,0.372326561,-0.154282146,-0.016556717,-0.936312026,-0.478132494,0.098815766,0.615543757,0.141033142,0.154873268,0.54097445,0.616038036,0.301114928,-0.187964226,0.061263458,-0.181929369,0.436801178,0.112620692,0.652764079,-0.178529444,0.120331296,0.579897229,0.126979572,-0.187291046,-0.215932089,-0.197474498,-0.12865889,-0.199911197,-0.29658192,-0.493870563,-0.564781033,-0.632788297,-0.089164662,-0.205389122,-0.33795046,-0.333355199,-0.32690662
83,LysoPC(16:0),0.501272451,0.129217547,0.496630009,-0.095979873,-0.068603485,-0.095748532,-0.051389496,0.61198092,0.32631785,-0.062282208,0.269397785,0.497349423,-0.252920133,0.060886562,0.102232964,0.054194159,0.378236237,0.416267825,0.32038328,0.565639753,-0.109100931,0.105986869,0.094949638,0.129529101,0.205854246,0.026135973,0.064757909,0.32478476,0.20202295,0.393470865,-0.012639023,0.212401799,-0.051340082,0.073006707,-0.170767337,-0.497147843,-0.177790351,-0.834448079,-0.788045294,0.005642451,-0.406932146,-0.511241332,-0.025701336,-0.422043087,-0.106912261,-0.744191065,-0.208051936,-0.072379042,0.36221083,-0.604305592,0.013795344,-0.001375948,-0.148376307,0.131852681,-0.360229599,-0.410684019,0.076999109,0.106536114,-0.340259063,-0.078484853,0.07405006,-0.612386858,-0.0790483,-0.248466491,0.197307323,0.33784093,0.416459362,0.356788305,0.394664375,-0.165763258,-0.117046942,-0.08693504,-0.173468657,-0.173704111,0.063389502,0.075875131,0.049170059,0.03145121,0.10924954
84,DG(18:1/18:0),0.453802548,0.536812588,-0.040043006,0.378276776,0.263032487,0.074738186,0.718970924,0.25247126,0.193139477,0.496101715,0.1791734,0.253428447,0.922587551,0.025902956,0.621956014,0.388957228,0.753576993,0.071522208,0.343809805,-0.22203075,0.441552372,-0.382967894,0.110326404,-0.763510026,0.415657637,0.28010052,-0.033760885,-0.316312286,0.558431681,-0.035502503,-0.695279363,-0.305207125,-0.107975998,-0.03740643,-0.273094606,-0.905750639,0.007317989,-0.085310588,-0.558350753,-0.10249951,-0.296667141,-0.309937029,-0.309488961,-0.673051619,-0.318308314,-0.611571763,-1.220430496,0.090015418,0.089977153,-0.196133043,0.18268859,-0.040463496,-0.195967652,-0.178717125,-0.144237102,-0.072220638,-0.054463345,-0.116146624,-0.300067295,-0.017489045,-0.184898406,-0.52202067,0.025050085,-0.369970484,0.265413053,0.326562121,0.342600395,0.429946602,0.380672201,-0.181569287,-0.105895844,-0.118234399,-0.081859813,-0.095660331,0.124274178,0.119470935,0.116162038,0.166905211,0.179087137
85,PC(16:0/14:0),-0.216648173,0.018130885,0.190133095,0.030780601,-0.028622131,-0.041183748,-0.171426518,-0.056187134,0.235913028,-0.249476316,-0.024317246,-0.224436123,-0.967496538,-0.220348784,-0.510395898,-0.557663255,0.424919977,0.143440901,-0.153326991,0.001213387,-0.123280544,0.040786991,-0.207609049,-0.081486422,0.295268609,-0.065553552,0.193649587,0.430815319,-0.015169378,-0.076366485,0.22697116,-0.023022365,0.146298784,-0.007787196,0.084900544,0.146538531,-0.024556503,-0.108346543,-0.157518802,-0.118543908,0.246655936,0.234513253,0.347772413,0.154384521,-0.104597619,-0.00323183,0.173135219,-0.236943662,0.290778251,0.669530734,0.072673745,0.217393284,0.30123017,0.251245365,-0.291072722,-0.005668891,0.354956402,0.321124167,0.347441806,-0.014640998,0.027011119,-0.180920769,-0.136936825,0.098914063,0.282426433,-0.135740459,-0.22690824,-0.233016775,-0.387440409,0.119020557,-0.03126178,0.116599924,-0.039617051,-0.18189092,0.046823413,0.024186713,-0.149746693,-0.223671246,-0.293502398
86,DG(18:1/18:2),-0.321690035,-0.184506484,-0.41229414,-0.314487444,-0.206167729,-0.098564027,-0.167635994,-0.471267221,0.372579389,0.066255767,0.256029601,0.173374778,0.721843468,0.432848872,0.195382108,0.347727093,-0.14039044,-0.300020537,0.17389595,0.777345167,-0.234252493,-0.168565626,0.250313325,0.629973062,-0.180932717,-0.0998778,-0.236848289,0.131441974,-0.073292588,-0.249738076,0.608736727,0.649084184,-0.425461294,-0.27336438,-0.516702382,-0.719054809,-0.451008002,-0.488660454,-0.558911125,-0.290770066,0.183501422,0.282206573,0.475763423,0.085841216,0.067366847,0.317659549,-0.016544525,0.21759935,-0.252304293,0.181463249,-0.331320031,-0.250777209,0.154921121,0.055500789,0.558593494,-0.240419176,-0.311888815,-0.161827173,0.431834283,-0.251939831,0.728349556,-0.433131688,-0.082749858,-0.045397811,0.001216532,0.078296153,0.17253662,0.071054019,0.006507446,-0.076481453,0.002580183,-0.083904459,-0.0359297,-0.060111593,-0.00741147,0.11032488,0.048169899,0.106990952,0.101494215
87,TG(16:0/22:6/18:1),0.544219231,0.189781595,0.692631476,0.306660405,0.14301962,0.045749992,0.262421159,0.536452721,0.318714711,0.406772213,0.47529918,0.556753114,0.440366577,0.236750174,0.423531344,0.449470135,-0.009649977,0.267676565,-0.056321847,0.27240384,0.362749004,0.062654803,0.095630423,-0.038004379,0.286787296,0.013033475,0.227813926,0.094889815,0.333728682,0.167925735,0.011359204,0.111116229,0.012634555,-0.083110923,-0.184045322,-0.626795101,-0.418197299,-0.426490508,-0.890239598,-0.033786153,-0.602806782,-0.390568885,-0.200045636,-0.716024249,-0.113076507,-0.704853526,-0.190865026,0.049964253,-0.079730573,-1.235386367,-0.131756604,-0.040549367,-0.584046796,-0.36405855,-0.370162357,-0.379864998,-0.255104914,-0.335211833,-0.323845377,-0.061453919,0.019212586,-0.525984455,-0.043279479,-0.219938936,0.200373891,0.421186498,0.456481359,0.410075181,0.42998139,-0.174344895,-0.082765169,-0.131112486,-0.167194959,-0.142220044,0.121740181,0.197194545,0.292342211,0.141481931,0.243862574
88,HexCer(d16:1(15Me)/24:0(2OH),-0.05900685,0.152269539,0.123935835,-0.394198536,-0.39582909,0.336414063,0.429882048,-0.025842313,-0.056431238,0.300230268,0.244083944,0.145020674,-0.334737251,0.205719922,0.295445231,0.571762588,-0.307404168,0.186427629,0.382640589,0.127098339,0.360075461,0.154565669,0.477318249,0.350158781,0.070093886,-0.015940666,0.016583768,0.326350995,0.522286405,0.251155739,-0.397911538,-0.240716322,-0.478264012,0.588482414,0.297227763,0.94286941,-0.386895753,-0.248574011,0.268214731,0.299522255,-0.147429185,0.322791557,-0.230452236,-0.263321259,0.658275371,-0.138480215,0.289457834,0.113994645,-0.013303501,-0.391573067,0.18314558,0.174483156,-0.489152612,-0.394041068,-0.244025733,-0.225940975,-0.082361883,0.193747807,-0.512622927,-0.124781883,-0.696830683,-0.134370283,-0.631820218,-0.169497177,-0.355672272,-0.170125965,-0.144336155,-0.157907363,-0.152957123,0.074599491,0.095796745,-0.035675151,-0.152060699,-0.17315503,-0.086962291,-0.218376929,-0.22508601,-0.200428867,-0.227627872
89,PE(P-16:0/20:3),-0.056301938,-0.067357166,-0.241152951,-0.282998345,-0.374457004,-0.136487881,0.074914033,-0.225566279,0.297560527,-0.14083034,0.306073889,-0.438805962,0.644347862,-0.121375582,-0.127261096,-0.041715138,0.124087452,-0.205632687,-0.149479367,-0.065932464,-0.150902047,-0.255043829,-0.070242294,-0.379834061,0.234071766,0.163511746,-0.112989734,-0.829251882,0.037942813,-0.228958535,-0.248070903,-0.12506012,0.28753657,-0.022657604,0.085889387,-0.127627112,0.218120908,0.241222077,0.044719112,0.058942836,0.019070409,0.315067779,0.252710441,0.075558058,-0.252763061,0.038131391,-0.121370996,-0.007675442,-0.024805903,0.807702298,0.130791766,0.214922282,0.182908307,0.026214239,-0.006927528,-0.070807904,0.419855395,0.334284022,0.4485717,0.128815527,0.601614948,-0.047957159,0.266058698,-0.18417952,-0.081513956,-0.207085372,-0.213357366,-0.218891338,-0.236489788,0.144058572,0.145814305,0.016281104,0.076198367,0.036955058,-0.000698233,-0.177183195,-0.145414719,-0.208147563,-0.069264281
90,Cer(t26:1/16:0(2OH)),0.153382685,0.157631793,0.498344077,0.348235346,0.33547132,-0.100620324,-0.275528862,0.487470737,-0.049594328,-0.167926802,-0.089824165,0.345229637,-1.815934226,-0.15511561,-0.37532418,-0.414213644,0.282689304,0.372362214,-0.117036824,-0.084257152,-0.060429645,0.413070218,-0.240908546,0.151199682,0.221961692,0.081371394,0.460316793,0.397390487,0.071607485,0.317670884,0.034380807,0.042996798,0.218822798,0.175719328,-0.048638705,-0.033302535,-0.133012858,-0.278776211,-0.241686758,0.018037139,0.060933138,-0.053912056,0.222875175,0.088606919,0.086999272,-0.23486101,0.195318147,-0.242894864,0.550160163,-0.097384393,0.093667297,0.122363648,0.107879597,0.234972353,-0.302145857,-0.221217563,0.253784294,0.283273632,-0.076245795,0.049602021,-0.221925902,-0.103287852,-0.143184158,-0.142003972,0.484665825,-0.067117382,-0.080192521,-0.03640957,-0.025602806,-0.025760067,-0.25068163,-0.317744419,-0.312817448,-0.313774423,0.079009966,-0.130964027,-0.137555279,-0.181026676,-0.098633023
91,LysoMG(20:4),-0.503801458,-0.184671834,-0.310483645,-0.051463113,-0.048330544,-0.014994116,0.026078417,0.253477705,-0.329083275,0.014437179,-0.363216236,-0.176707531,0.159772511,-0.339415473,-0.697220815,-0.064357767,-0.116545116,-0.395901323,-0.85279645,-0.739605237,0.16282698,-1.136379248,-0.474660423,-1.130864602,0.038628536,0.529996973,0.230066449,-1.05517277,0.029687303,-0.206052662,-0.277111078,0.124155379,0.526676881,0.171288877,-0.093051934,-0.199694994,0.424781488,0.226664612,0.093933923,-0.2009507,0.105601818,0.160635106,0.090309513,-0.411640861,0.022812867,-0.065206351,-0.257048017,0.194719077,0.689297532,0.080268613,0.63562129,0.728134645,-0.043461387,-0.240652262,0.136896016,0.298720453,0.205317419,0.714996914,-0.029884456,0.454855435,1.189770632,-0.39470516,0.251542241,0.463944451,-0.210316724,-0.117870872,-0.028253311,-0.099257268,-0.0769048,0.368632889,0.38650172,0.341505919,0.383636543,0.342912094,0.107705543,0.179193701,0.172772224,0.138575489,0.080380454
92,PE(P-16:0/22:6),0.337667657,0.147696241,0.353963082,0.300087509,0.056943626,0.332804392,-0.129246182,0.089460579,0.247502584,-0.050458776,0.114294186,0.098956775,-1.045233011,0.120732017,-0.099684552,-0.022921478,-0.031746332,0.284002811,0.111958951,0.081255502,0.120942529,0.247443497,0.24770929,0.353735136,0.103822158,0.19176384,0.309138405,0.047406337,0.040134609,0.09259089,0.207764672,-0.152197689,0.148691946,-0.073256442,0.049082438,-0.183134814,-0.146509379,-0.080630752,-0.380611924,-0.04225695,-0.171423056,-0.011925357,-0.018760042,-0.093458013,-0.083230869,-0.420937908,0.165490029,-0.010848257,0.086130903,-0.158894591,0.010795405,-0.021669759,-0.096633092,-0.147744132,-0.140448211,-0.15867569,0.137256771,0.213061289,-0.083100684,0.028635327,-0.255501944,-0.19163327,-0.128169275,-0.078348494,0.133213303,-0.010974946,-0.054961861,-0.064423184,-0.114358165,-0.035081949,-0.097832911,-0.102356683,-0.192164563,-0.078334957,-0.02712731,0.00595598,-0.126907061,0.111524039,-0.115800191
93,PC(18:2/22:6),0.43337186,0.065144267,0.427587754,-0.129907645,-0.047329517,-0.041047333,0.023745741,0.445287784,0.58900329,0.346601452,0.538378744,0.644836739,0.54973627,0.532002216,0.565972999,0.469340348,0.040550172,0.182135262,0.547920371,0.498087279,0.176751067,0.109307596,0.500842957,0.32198481,0.00407032,0.269340395,0.037115719,0.288325703,-0.008966627,0.21503911,0.051403251,0.416398704,-0.350661768,-0.335718256,-0.572659285,-1.104460666,-0.536939687,-0.625718939,-1.028492142,-0.283555685,-0.388138461,-0.273512804,0.02919654,-0.468263322,0.057576574,-0.586767222,-0.303534755,0.189676904,0.055890861,-0.708073347,-0.178555743,-0.266039146,-0.137059763,0.022938745,-0.036148061,-0.521957513,-0.22014123,-0.204285852,-0.167568124,-0.361649225,0.11373483,-0.866423904,-0.292133864,-0.315161747,0.222193487,0.41360325,0.460823407,0.46219634,0.519774137,-0.293922159,-0.210467636,-0.192800807,-0.223265301,-0.211026167,0.080270308,0.137671962,0.137641517,0.152422978,0.146459685
