"Based on noiseRem,RT,Repeat Rem",,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
Accepted Compounds,Cleaned Names,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
60,LysoMG(22:6),0.524851156,0.073838905,0.675404454,-0.056861758,0.111529638,-0.180989042,-0.008542894,0.647039271,0.552935239,0.206099358,0.470374648,0.65612723,0.283416658,0.351030035,0.420589294,0.448987339,0.302543545,0.343036343,0.343043012,0.439357234,0.201837782,0.072900715,0.231017834,0.049491269,0.154437649,0.276157794,0.19123701,0.269621749,0.327325893,0.274969361,-0.072663807,0.38033947,-0.290881064,-0.098047828,-0.630351953,-0.854098704,-0.543624192,-0.703680612,-1.02264023,-0.154201726,-0.539535538,-0.59451606,-0.060713013,-0.58488033,-0.049741325,-0.739004583,-0.326108446,-0.267297314,0.20186477,-0.968570578,-0.16574229,-0.242402288,-0.287248167,-0.01560945,-0.173215232,-0.274728846,-0.178757789,0.063289572,-0.150883613,-0.200778376,0.040606833,-0.820345736,-0.31331602,-0.416642219,0.21288646,0.570826388,0.55922591,0.569299479,0.62570429,-0.292047944,-0.228646751,-0.211100414,-0.197582251,-0.174461657,0.054383653,0.164615524,0.233624906,0.23342973,0.281162641
61,DG(16:0/20:4),0.337673079,0.382867164,0.365652134,0.625765283,0.459935098,0.579111307,0.612339918,0.439287021,0.274492744,0.495598928,0.526500802,0.447927988,0.823700007,0.612685571,0.674470841,0.761579989,0.308218835,0.141927368,-0.439546201,-0.058668768,0.661607866,0.00920894,-0.115457312,-0.406801364,0.234054123,-0.294736111,0.222910785,-0.305339071,0.533031823,-0.159360981,-0.330587346,-0.060222543,-0.101149937,-0.236797544,-0.260006768,-1.132863946,-0.2505486,-0.356322284,-0.75053734,-0.180964501,-0.453373229,-0.153911316,-0.132718804,-0.754405641,-0.124350394,-0.437294945,-0.363767555,0.108695268,-0.207912682,-0.775438896,-0.30975684,-0.261267193,-0.499539686,-0.473311797,-0.340686723,-0.080547898,-0.498513705,-0.458780243,-0.148033126,-0.162120389,0.087150467,-0.841359024,-0.014853368,-0.496097583,0.01313472,0.468409447,0.573936262,0.54719216,0.495430566,-0.333660863,-0.164370875,-0.155425453,-0.010757528,0.03004684,0.199070254,0.175151415,0.2652194,0.27474775,0.323434213
62,PE(16:0/18:2),0.094463848,0.133297544,0.291282131,-0.261831855,-0.245296772,-0.265534686,-0.257891198,0.280515015,0.170645338,-0.346972978,0.13826012,0.252355273,0.522538965,-0.356596437,-0.176373546,-0.168824544,0.179477098,0.547593464,-0.350551407,0.239833685,-0.148277225,-0.028869893,0.010292034,0.152309786,0.431548191,-0.114221334,0.035672976,0.670782876,0.255380607,0.090695291,-0.084118542,-0.178712108,0.06109995,-0.019200039,-0.369145894,-0.135627747,0.202279355,0.328487953,0.218752786,-0.044845028,-0.243297708,-0.614644213,-0.093813922,-0.075748244,-0.257014527,0.046676052,-0.458914191,-0.49145066,0.323253991,-0.06208949,0.044190755,0.093514776,0.194591156,0.123371056,0.067726825,-0.056841594,0.197340149,0.121858956,-0.071601117,0.017812256,0.341624903,0.121414461,-0.020205516,0.75419432,-0.149471253,0.051372996,0.066468272,0.092963857,0.0849034,-0.316651139,-0.139677885,-0.286326606,-0.185499591,-0.331188206,-0.181059618,-0.079316187,-0.260189807,-0.071735601,-0.051214156
63,PS(18:0/22:6),-0.97412384,-0.235712553,-0.378028915,0.119164789,0.229854825,0.56386859,-0.356249692,-0.926190231,-0.679124928,0.135076139,-0.055004589,-0.196641854,-0.796529339,0.130249827,-0.308013509,0.144076502,-0.403285993,-0.131492297,0.020456984,-0.218019471,-0.105797725,0.249836668,0.141164454,0.521270846,-0.362633087,-0.671743544,-0.523467305,0.072446352,-0.034413794,-0.236654022,0.52172737,0.15355809,-0.539245014,-0.591501826,-0.037046117,0.774398227,0.349772995,0.695860915,0.943500419,-0.074120838,0.40157147,-0.424775614,-0.05740131,0.800204705,0.036100999,0.715820283,0.359453348,0.085411806,-1.019924167,0.616177476,-0.282030282,-0.029717933,0.475177186,0.190692228,0.635571842,0.204470501,-0.979619559,-1.005415858,0.055328201,-0.019516181,-0.231837362,1.082344427,0.181405466,0.613459601,-0.279248934,-0.133165763,0.012130203,0.039334701,0.085366109,-0.029740715,0.178755095,0.258039663,0.213094743,0.19050678,-0.060094783,0.098719583,0.035342267,0.047197863,0.009568409
64,PE(20:4/22:6),0.245772585,0.11587396,0.361879601,-0.186529367,-0.048547977,-0.120664548,0.046480572,0.397275621,0.738317492,0.174013579,0.611427163,0.597655634,0.080402875,0.526237241,0.497664551,0.683185102,0.088924771,0.026552389,0.362084344,0.349698177,0.106332851,-0.067203545,0.34737088,0.279415005,-0.003429678,0.170249657,0.078010526,0.138752882,0.011273723,0.066301464,0.158232321,0.459078472,-0.313666585,-0.178416504,-0.681120981,-1.361373024,-0.609928159,-0.668442888,-1.033908965,-0.390420918,-0.187893802,0.101685391,0.318398155,-0.304566391,0.16305514,-0.425727652,-0.319775931,0.33175013,0.23604278,-0.501491225,0.02300796,-0.319506652,-0.133238117,0.12498121,-0.122267442,-0.497118553,-0.18446707,0.011290634,0.049370495,-0.312774195,0.353511792,-0.849945893,-0.328267942,-0.414529891,0.172821453,0.259835005,0.401880123,0.323955412,0.404318303,-0.256081916,-0.151115528,-0.159677222,-0.196278133,-0.185969988,0.030344665,0.102195789,0.100825819,0.157047714,0.129565279
65,DG(16:0/20:4),0.418031415,0.365184093,0.564320748,-0.108257781,-0.067873558,-0.008920715,0.038074576,0.030279706,0.524281804,0.078508577,0.152339746,0.174074221,-0.495280723,-0.093061077,-0.247459191,-0.094668926,-0.119756767,0.416628238,0.037009454,0.091130616,-0.192950325,0.01316867,-0.346565349,0.110079624,0.337290005,0.157450255,0.360470596,-0.137212212,0.137936581,0.240973681,0.035568126,-0.015601411,0.353072716,0.405939162,-0.055551623,-0.407928486,-0.212378513,-0.23140085,-0.769032388,0.324062568,-0.277918917,0.167098177,0.341311529,-0.168932745,0.005626177,-0.531048779,0.013159909,-0.173938377,0.311525964,-0.622237134,0.268973839,0.175493599,-0.077696175,-0.153082622,-0.057441102,-0.246208124,0.400284891,0.5422748,0.103051108,0.110856019,0.313598856,-0.495591055,-0.117460812,-0.108671935,0.192837863,-0.009478167,-0.109673951,-0.002731697,-0.164035243,0.145249014,-0.208971282,-0.289713962,-0.185771835,-0.502634031,0.083110932,0.13836087,0.05162961,-0.348620962,-0.274559533
66,DG(16:0/18:1),0.315946065,0.250377523,0.080222136,0.376427884,0.24820616,0.433188819,-0.09986986,-0.026871398,-0.112556534,0.051298578,-0.495187864,-0.09584438,0.982282172,-0.199712404,-0.631975177,-0.319317201,0.155885101,0.106287481,0.007306415,0.010613368,0.045902304,0.257500015,-0.229777611,-0.224225027,0.048253378,0.294848159,0.314985915,0.459356516,-0.026122357,-0.252218767,-0.194963727,-0.463903987,0.310880541,0.225191166,0.053100146,0.06609103,0.113561189,0.353619926,0.25636799,-0.043539057,0.047329907,0.008707381,-0.063001534,0.119126315,-0.026419566,0.136046277,-0.280323556,-0.332107708,0.354828406,-0.013427634,0.103477908,0.064117368,-0.302779997,-0.311434573,-0.179731615,0.092709077,0.37789648,0.217802552,0.133940946,0.173864724,-0.189871109,0.015077053,0.154524947,0.153119561,0.226677907,-0.17723899,-0.220405312,-0.235220765,-0.325610117,-0.089469709,-0.194501637,-0.307145422,-0.335046802,-0.359107599,-0.063919951,-0.151403323,-0.23460697,-0.266157757,-0.121929789
67,PC(14:0/20:4),0.26745914,0.173312271,0.540498361,-0.132487548,-0.063143724,-0.041199221,0.082130747,0.532541976,0.605711007,0.280227095,0.661945024,0.620069705,-0.356556047,0.282305178,0.412358918,0.277303007,0.168136028,0.484738859,0.299514279,0.306783234,0.122322147,0.254462252,0.334872919,0.371859751,0.355798988,0.193481254,0.276540022,0.468259768,0.303325112,0.384373912,-0.14406445,0.188115963,-0.241847205,-0.239512698,-0.421207374,-0.612145338,-0.334819114,-0.711471774,-1.044504421,-0.198314527,-0.499633532,-0.390378233,0.007372106,-0.508409812,0.032925617,-0.629852907,0.02308403,-0.097310423,0.11658932,-0.897271201,0.078243496,-0.173553385,-0.255290722,0.031721636,-0.198125057,-0.522842014,-0.187424248,-0.144219406,-0.433127555,-0.17588494,-0.182084617,-0.702452312,-0.260099911,-0.031238331,0.19857232,0.409768584,0.408641909,0.438146898,0.477443055,-0.28994583,-0.237867772,-0.107258381,-0.243176725,-0.259792402,0.054697478,0.090535546,0.122154344,0.099282356,0.130887545
68,PE(22:4/18:4),-0.315125296,-0.093239844,-0.384930327,-0.068420832,-0.297232325,-0.003716478,-0.000938363,-0.403037912,-0.040394233,0.176265617,0.051404051,-0.076282648,0.556331784,-0.127103461,-0.244875785,0.049981646,-0.174033393,-0.021923643,-0.218124589,-0.033564211,-0.327374557,-0.26838946,-0.148355852,-0.037443013,-0.186754127,-0.271160351,-0.162195101,-0.16601219,0.081150031,-0.449881032,0.171227766,-0.066602194,0.06220228,0.201587923,0.050562049,-0.054657916,0.097093368,-0.140994697,-0.036170062,0.153484213,0.174267378,0.14447499,0.166749045,0.16719515,0.277770978,0.216919757,0.067175866,0.241185098,-0.157628784,-0.007633245,-0.005791974,0.187252723,0.395194777,0.245203737,0.346785774,0.207449438,-0.068144938,0.053050321,0.348466665,0.141116081,0.489008386,0.047591146,0.232806446,0.353589382,-0.398826549,-0.228700854,-0.175776064,-0.321408294,-0.340714603,-0.093474737,0.218631819,0.254087679,0.221160759,0.130474449,-0.268420858,-0.007171222,0.060786692,-0.105138475,-0.041920775
69,DG(20:4/18:1),0.06274976,-0.148868933,-0.164547151,-0.231141934,-0.265122411,-0.089213495,0.147689115,-0.121339794,0.073201092,0.216459526,0.186039215,0.160243299,0.775099855,-0.016759013,-0.013847425,0.283729906,-0.109695431,0.126465652,-0.0671482,0.026050447,-0.1721211,-0.444587418,-0.060711146,-0.107367599,-0.120148559,-0.203509107,-0.153740811,-0.131041441,0.094187672,-0.37973689,0.051148546,-0.046690511,-0.005928871,0.125837306,-0.110456569,-0.531662395,-0.090640021,-0.54259595,-0.505973301,0.225795784,-0.008659061,-0.000559256,0.299458456,0.185609772,0.104793225,-0.065318954,-0.218236247,0.447363489,-0.087598332,-0.350406584,0.170268559,0.067452954,0.26260812,0.052018034,0.198318156,0.148713813,0.163596026,-0.055755023,0.084378353,0.168064752,0.605002148,-0.334711907,0.06514449,0.291089917,-0.119023058,-0.243002054,-0.107703554,0.205603126,0.068901675,-0.136580588,0.211886608,0.009990024,0.006529169,0.048373094,-0.122297913,0.179026537,0.073831443,-0.077593174,0.089322065
