"Based on noiseRem,RT,Repeat Rem",Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5
Accepted Compounds,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCHip,QCHip,QCHip,QCHip,QCHip
28,0.049550245,0.082196874,-0.071749452,-1.197285634,0.399171425,0.511133879,-0.158481775,0.275684323,0.076437114,0.148615422,0.050341331,0.164591358,-0.112241101,0.088548121,-1.014659503,-0.063047634,-0.328772562,0.762156025,-0.078055041,0.128019753,0.742233263,0.669457073,0.072643772,0.260965533,0.092939677,0.02281632,0.456892259,0.393053393,0.795980276,0.094525359,0.527899242,0.001250806,-0.161804427,-0.257589889,-0.37838082,-0.287632937,-0.273525766
29,-0.248062461,-0.051436474,-0.420974041,-0.526894455,-0.456224823,-0.745423542,-0.751074554,-0.437379057,-0.051570614,-0.441093166,0.219971669,-0.334191653,-0.327174959,-0.378032325,-0.491462051,-0.095386944,0.274759184,0.138067903,-0.139457482,-0.3362962,0.106268633,-0.056934303,-0.395192269,-0.383169385,0.213470849,0.031560518,-0.009054289,-0.563069266,-0.528855129,-0.688150554,-0.288072298,-0.575312136,-0.204098828,-0.282852225,-0.387623522,-0.384516298,-0.438178926
30,0.253143768,0.231034774,0.003171073,-0.163189052,0.108256226,-0.213006131,0.078373493,0.019787882,0.197481274,0.040706776,0.185569336,0.281207474,0.148780383,0.324634544,-0.163539624,0.381866709,-0.080833763,0.073756694,0.052157258,-0.008012348,0.312209378,0.139880797,0.196588027,0.381541177,0.060848788,0.090691771,0.280679187,0.105270109,0.485080365,0.183568911,0.295944069,0.03525846,0.098634445,0.242332578,0.243548779,0.215218392,0.318053959
31,-0.619879423,0.444316847,0.192478573,0.481082503,-0.582702952,-0.510289254,0.115621283,0.428840528,-0.202592027,0.523431839,-0.129256853,-0.437158726,0.593525083,-0.240385723,0.15663569,0.240269408,0.046044583,-0.391899546,0.144080016,0.21089397,-0.838697461,-0.675050775,-0.299172363,-0.258033517,-0.093204605,0.305672815,-0.477687287,-0.2372138,-0.590065013,-0.731252401,-0.664177518,-0.448039237,0.078661432,-0.002851554,-0.156821019,-0.087090121,-0.114985773
32,0.257928905,0.124769352,-0.053376267,-1.347900966,-0.004434946,0.073949392,-0.832436064,-0.177663249,-0.24021175,0.143963798,0.107375764,-0.383829009,-0.337488887,-0.687390598,-1.442053876,-0.041709046,0.28315568,0.343212577,0.241052089,0.100451655,0.238871747,0.183705528,-0.103230199,-0.2846202,0.388958734,0.205019708,0.109588593,0.022555382,0.344159507,-0.608527672,0.192436219,-0.231550028,-0.036889517,-0.071982628,-0.133891819,-0.207481195,-0.271982025
33,-0.110749233,-0.064177337,-0.444748515,-1.220456831,-0.433126239,-0.562897892,-0.720661946,-0.213465572,-0.31011767,-0.257125915,0.063718585,-0.45968256,0.022213809,-0.566823467,-0.557197826,-0.132871852,0.272623484,-0.530972212,-0.044528973,-0.395485939,-0.127348593,-0.074725816,-0.119359421,-0.27766792,-0.064082017,-0.024705767,-0.016318957,-0.170198763,0.334115763,-0.60095854,-0.070359255,-0.25252066,-0.244140744,-0.065652593,-0.028864437,-0.131075794,-0.125829853
34,-0.664536919,0.543088429,0.23753964,0.467766713,-0.64956473,-0.497467484,0.076852467,0.485078723,-0.167550619,0.494108643,-0.197612009,-0.513819554,0.598678739,-0.251606875,0.275275502,0.245239014,0.110474735,-0.530438515,0.138176479,0.206825717,-0.848913494,-0.683458794,-0.301805577,-0.20341799,-0.041076634,0.262369214,-0.59111658,-0.344476618,-0.634156734,-0.665282702,-0.597652717,-0.317707838,0.127041701,-0.001093105,-0.133817608,-0.039835305,-0.019689957
35,0.362230997,0.339716082,0.043310553,0.037995626,0.040374889,0.180800766,0.042620672,0.344973365,-0.047700883,-0.020262472,-0.00516169,-0.236380751,-0.159790991,-0.397090166,0.000202451,-0.401863851,0.250328967,-0.059817567,0.561810101,0.336179586,-0.135223481,-0.11885293,-0.1753726,0.324686556,0.339744793,0.537725416,-0.202142032,0.118551322,-0.102582921,0.164911539,-0.258572121,0.352281214,0.189236808,-0.099663931,-0.064826429,-0.219329062,-0.251645937
36,0.04422492,0.004381075,-0.087395965,-0.246771238,-0.141273336,0.055498721,-0.049483014,0.147077501,-0.090667688,-0.064390901,-0.377933866,-0.409192762,0.092258049,-0.275586228,-0.204848774,-0.229114815,0.097043044,-0.414733164,0.108303757,-0.10856773,-0.171964042,-0.262286799,-0.055722879,0.036663801,-0.021035728,0.122352027,-0.121377955,-0.214523932,-0.315661861,-0.192684487,0.042460958,0.146978689,-0.125902272,-0.061157667,0.027254095,-0.191755572,-0.236910948
37,0.05556309,-0.09549013,-0.158312279,-1.4102357,0.047232856,0.138344011,-0.95200066,-0.056877089,-0.509776662,-0.109705349,-0.141427293,-0.62790228,-0.418958487,-0.839178208,-1.300368859,0.062852739,0.007626927,0.035332263,0.140346391,-0.007521216,-0.043490184,-0.033946734,-0.085798909,-0.234767475,0.166746924,-0.054185281,-0.091508011,-0.011928762,0.468391387,-0.652692047,0.321212225,-0.194706735,-0.046718658,-0.038115249,-0.027504363,0.020033401,0.048234546
38,0.263543552,0.048832238,0.132646137,-0.399098091,0.419917174,0.651141925,0.044198061,0.138569034,0.141992749,0.389700138,0.077286612,0.101905391,-0.175972474,0.175557714,-0.769438677,0.147298149,-0.146988302,0.939610808,0.07262736,0.226572667,0.28497994,0.158361056,0.327951524,0.151799022,0.221325668,0.147201866,0.401192369,0.152793349,0.436483718,0.065310461,0.353908431,0.336796492,0.154472098,0.025997854,0.204087675,0.099487823,0.117662057
39,0.318690005,0.250519054,0.477272849,0.613800031,0.322634372,0.307380861,0.517045119,0.176433429,0.467764176,0.377588126,0.469199358,0.363139619,0.424383825,0.576427713,0.444903286,0.528172222,0.470562764,0.459142829,0.441713681,0.530466585,1.33096688,0.828739927,0.422230559,0.555204246,0.3277348,0.27976115,0.68057596,0.361788975,0.4131894,0.614469463,0.93429508,0.299870239,0.539117129,0.587771699,0.582960261,0.581014466,0.550041525
40,0.176966624,-0.12081419,-0.377345759,-0.814093813,-0.072233682,-0.599779644,-0.832797387,0.098133801,0.025993873,-0.302858484,0.206585744,-0.434187707,-0.255841256,-0.366070433,-0.29348129,0.071928143,0.221510365,-0.475366252,-0.357393828,-0.043137853,0.160849002,-0.111671953,-0.208971105,-0.482415964,0.291641662,-0.063492869,-0.250957001,-0.074561528,-0.333547064,-0.686291305,-0.042618751,-0.518476126,-0.162729722,-0.281465758,-0.427858133,-0.39671733,-0.235411312
41,0.017127894,-0.185820464,-0.042169943,-0.538936036,-0.017214855,-0.473371021,-0.472238116,0.062007822,-0.685413552,-0.860736575,-0.504351143,-0.592428973,-0.108057784,-0.830900719,-0.489458676,-0.332029226,0.133791914,-0.842236122,0.114540407,0.070024387,-0.222059887,3.65E-05,-0.536747848,-0.392133003,0.130925751,-0.10796095,-0.691883772,-0.063688628,-0.580453415,-0.636018833,0.114907649,-0.34020534,-0.287671683,-0.224219575,-0.17906856,-0.116944069,-0.241245119
42,0.242707806,0.152859798,-0.289381294,-1.581304285,0.149263867,0.241751828,-0.778604268,0.057949909,-0.372998885,0.037735121,0.217293389,-0.505689407,-0.524974251,-0.878999011,-1.342289848,-0.147635415,0.51272221,0.198316795,0.245041543,0.125260551,-0.130895911,-0.016512518,-0.281019857,-0.266673554,0.585568765,0.375358622,-0.053857281,0.010156295,0.421992606,-0.568681318,0.29873187,-0.376364716,-0.016228314,-0.25868356,-0.377858844,-0.285703416,-0.23027634
43,-0.156940229,-0.080159437,-0.210156765,-0.772541248,-0.18223448,-0.283955081,-0.666000535,-0.048580267,-0.473243768,-0.740828166,-0.271573458,-0.600547115,0.032644502,-0.726937094,-0.464514195,-0.075556763,0.324382225,-0.702128045,0.120546256,-0.100351594,-0.388367963,-0.310205633,-0.335214653,-0.238643037,0.032312662,-0.03714742,-0.555017673,-0.216484195,-0.370617528,-0.639959362,-0.046291349,-0.280956107,-0.211642154,-0.136228257,-0.126994377,-0.138958719,-0.167115675
44,0.331969959,0.428423084,0.651856295,0.845421591,0.535374196,0.602724711,0.789750098,0.410402523,0.657359563,0.423035811,0.371247506,0.447114771,0.436967406,0.768516015,0.633043667,0.591999329,0.373010595,0.646032737,0.508681827,0.28326741,0.126540522,0.760890386,0.468036017,0.574809165,0.427169076,0.365954133,0.62476749,0.284106207,0.540382761,0.717072528,0.128727656,0.56791647,0.51957402,0.595014566,0.570856297,0.556812665,0.545456794
45,0.383584736,0.238770649,0.255036192,-0.196385534,-0.280099768,-0.82260036,-0.613208279,0.048724691,-0.261956432,0.058514846,0.188823781,0.093616062,0.088921414,-0.098072972,0.166551759,0.031538512,0.137897617,-0.533161732,0.191550546,0.091590834,0.05553459,0.062534559,-0.20245845,-0.282307188,0.197306596,0.269315368,0.344500328,-0.090908842,0.414022177,-0.180394371,0.169599463,0.014498334,-0.118359372,0.033465503,0.092465774,-0.030105947,-0.092752056
46,0.014460487,0.072916479,-0.008197536,-0.591988016,-0.025189615,-0.645130779,-0.76873358,0.212387135,-0.445564635,-0.825729844,-0.101775274,-0.44934303,0.089254479,-0.839448069,-0.193456755,0.025673063,0.483696332,-0.753153519,0.30272681,0.156670434,-0.248375343,-0.168057322,-0.301060988,-0.286787004,0.195233477,0.166725652,-0.455751071,-0.040303212,-0.383853096,-0.609339196,0.098987486,-0.239015487,-0.040394925,0.034076584,-0.018825432,-0.057443651,0.065585067
47,-0.143117166,-0.257026363,-0.248879876,-0.520421295,-0.281338993,-0.496111957,-0.645098508,-0.067507463,-0.402209376,-0.258971377,-0.058808079,-0.465549564,-0.029424198,-0.387289014,0.130399011,0.075549023,-0.329718238,-0.733680919,-0.266240945,0.071073526,-0.341051315,-0.222266129,-0.222916202,-0.383458692,-0.255440853,-0.230495178,-0.276646031,-0.337844893,-0.14423686,-0.633079459,-0.057941718,-0.146162329,-0.193327864,-0.107131147,-0.016380917,0.00704174,0.010504787
48,0.077281269,0.002593169,0.227830334,-0.229302561,0.506551392,0.804304566,0.357459298,0.132474435,0.226778414,0.189949987,-0.06895508,0.046901121,-0.103002019,0.148110049,-0.56555149,0.34670694,-0.370108904,0.73098917,0.004738482,0.067374877,0.342135918,0.021330982,0.313948481,0.411844653,0.014195921,-0.112869646,0.300212308,0.20600997,0.459407714,0.335652771,0.479005376,0.329748854,0.116513821,0.136393533,0.251983094,0.291233233,0.348580229
50,0.219587752,0.061469565,-0.08271379,0.065630178,0.065685282,0.052190665,-0.419978356,0.232131847,-0.190948089,-0.135711447,0.030496133,-0.256346569,-0.319852789,-0.380192991,0.432572278,-0.020808538,-0.202643958,-0.031534407,-0.130469369,0.254994136,0.088699428,0.230046396,0.0644755,-0.062838331,0.108526508,0.147357565,0.061574592,0.273541725,0.340636264,-0.352468139,0.18841456,-0.146687718,0.079211647,-0.09488406,0.074638348,0.107742172,0.05147371
51,0.292949552,0.146107704,0.405818935,0.406548926,0.108523893,0.11705796,0.279443116,0.032160192,-0.272698605,-0.149250621,-0.097836144,-0.236556693,-0.295142613,0.122376551,0.134538464,0.000338503,-0.240144676,-0.202418163,0.106497528,0.458078949,-0.012422002,0.152814809,-0.066365715,0.268108489,-0.160539133,-0.236868647,-0.187743769,0.059754936,-0.167855333,0.169131614,0.065432648,0.096359124,0.254750784,0.25813252,0.270139866,0.05889131,0.082064546
54,0.151097191,0.285284966,0.18626603,0.061774465,-0.240654234,0.311483403,0.300775564,-0.055087835,0.114280958,0.41395519,-0.048746438,-0.016301652,0.098572467,0.050545246,-0.086533799,-0.171548004,0.44944563,0.146755129,0.437446682,-0.046959862,0.133473734,-0.046165976,-0.322746273,0.105839922,0.22844563,0.258849808,-0.073234325,0.230520857,-0.446649217,0.341640676,-0.105442933,0.000206879,0.094795356,-0.138709543,-0.096397524,-0.209121702,-0.054358418
55,-0.248611371,-0.256994656,-0.650439154,-1.263297179,-0.640283104,-0.544719783,-1.056075951,-0.308476166,-0.392239612,-0.20753001,-0.040041813,-0.498753343,0.054278819,-0.666140221,-0.360815372,-0.020902292,0.22479394,-0.645772972,-0.081040001,-0.320370611,-0.138293785,0.001668865,-0.191451035,-0.53643923,-0.097626313,-0.099575093,-0.131020138,-0.387734552,0.089023337,-0.88420304,-0.294617953,-0.217376191,-0.291780696,-0.289821945,-0.262602006,-0.23716977,-0.23469101
56,-0.301105085,-0.423701637,-0.378127174,-0.470227006,-0.299991514,-0.519809344,-0.80900115,-0.236377634,-0.507267705,-0.211588905,-0.147805899,-0.382241127,0.162448715,-0.279417531,0.220075448,0.165978555,-0.226758121,-0.592739195,-0.176622012,-0.146523893,-0.048938453,-0.058591736,0.196813184,-0.383037207,-0.390290241,-0.241641646,-0.120209908,-0.233389761,-0.151223583,-0.786358122,-0.208964991,0.088358308,-0.243012577,0.000330616,-0.04164754,-0.026780992,-0.150458042
