Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
PE(22:4/18:0),0.262679288,0.160822723,-0.168667129,0.000606659,-0.194913795,-0.288397526,-0.344177703,0.093672301,-0.202273655,0.022244614,0.268917721,0.085829822,-0.125667645,-0.332103015,0.523624086,-0.335271543,0.223607788,-0.200069854,-0.061584627,0.039043958,-0.203626467,-0.069105089,-0.259241467,-0.078708404,0.311227998,0.320942921,0.058572757,-0.001873148,-0.089155408,-0.250107144,-0.06810794,0.088964117
PE(22:4/18:4),0.06220228,0.201587923,0.050562049,-0.054657916,0.097093368,-0.140994697,-0.036170062,0.153484213,0.174267378,0.14447499,0.166749045,0.16719515,0.277770978,0.216919757,0.067175866,0.241185098,-0.157628784,-0.007633245,-0.005791974,0.187252723,0.395194777,0.245203737,0.346785774,0.207449438,-0.068144938,0.053050321,0.348466665,0.141116081,0.489008386,0.047591146,0.232806446,0.353589382
PE(22:4/22:6),0.253143768,0.231034774,0.003171073,-0.163189052,0.108256226,-0.213006131,0.078373493,0.019787882,0.197481274,0.040706776,0.185569336,0.281207474,0.148780383,0.324634544,-0.163539624,0.381866709,-0.080833763,0.073756694,0.052157258,-0.008012348,0.312209378,0.139880797,0.196588027,0.381541177,0.060848788,0.090691771,0.280679187,0.105270109,0.485080365,0.183568911,0.295944069,0.03525846
PE(22:5/18:0),0.416352371,-0.01620108,-0.146290812,-0.225347244,-0.3254154,-0.234723848,-0.398520542,-0.033440187,-0.234020421,0.072134567,0.199638608,-0.124086255,-0.162629887,-0.332196343,0.158354712,-0.401145779,0.1942,-0.19893594,-0.002463188,0.022990661,-0.422222392,-0.21241502,-0.496019442,-0.244109075,0.328351729,0.28446656,-0.026852056,-0.204303679,-0.144744518,-0.422769023,-0.119567585,0.050573208
PE(22:6/16:0),0.151097191,0.285284966,0.18626603,0.061774465,-0.240654234,0.311483403,0.300775564,-0.055087835,0.114280958,0.41395519,-0.048746438,-0.016301652,0.098572467,0.050545246,-0.086533799,-0.171548004,0.44944563,0.146755129,0.437446682,-0.046959862,0.133473734,-0.046165976,-0.322746273,0.105839922,0.22844563,0.258849808,-0.073234325,0.230520857,-0.446649217,0.341640676,-0.105442933,0.000206879
PE(22:6/18:2),-0.248611371,-0.256994656,-0.650439154,-1.263297179,-0.640283104,-0.544719783,-1.056075951,-0.308476166,-0.392239612,-0.20753001,-0.040041813,-0.498753343,0.054278819,-0.666140221,-0.360815372,-0.020902292,0.22479394,-0.645772972,-0.081040001,-0.320370611,-0.138293785,0.001668865,-0.191451035,-0.53643923,-0.097626313,-0.099575093,-0.131020138,-0.387734552,0.089023337,-0.88420304,-0.294617953,-0.217376191
PE(22:6/22:6),-0.110749233,-0.064177337,-0.444748515,-1.220456831,-0.433126239,-0.562897892,-0.720661946,-0.213465572,-0.31011767,-0.257125915,0.063718585,-0.45968256,0.022213809,-0.566823467,-0.557197826,-0.132871852,0.272623484,-0.530972212,-0.044528973,-0.395485939,-0.127348593,-0.074725816,-0.119359421,-0.27766792,-0.064082017,-0.024705767,-0.016318957,-0.170198763,0.334115763,-0.60095854,-0.070359255,-0.25252066
PE-NMe2(20:4/24:0),0.162858937,0.768266343,0.2082378,0.13073306,0.115595572,0.061950771,-0.400118221,0.107015771,0.08357111,0.189488205,0.080222466,0.035067468,0.234789786,-0.449701019,-0.372880375,0.044586291,0.072737445,0.083288069,0.500669545,0.200602203,0.109233805,-0.051489619,-0.018724184,-0.082979639,0.267531199,0.340854038,-0.094760573,0.39918717,-0.104091612,-0.328837748,-0.003167861,0.308292248
PE-NMe2(22:6/18:0),-0.252193039,-0.14492773,-0.494495895,-0.947115094,-0.401284256,-0.034326701,-0.514171348,-0.190901023,-0.384903909,-0.241044574,-0.345470464,-0.629254588,-0.041794025,-0.615992003,-0.58843348,-0.122459934,0.048719895,-0.663763857,-0.011749005,-0.35366587,-0.390805521,-0.231473052,-0.251008425,-0.139159881,-0.218350545,-0.222762212,-0.407637765,-0.250081926,-0.039821177,-0.612345807,-0.075513262,0.244195862
1-Palmitoyl-2-linoleoyl PE,0.199228954,0.058579441,-0.233518963,-0.457988085,0.019659162,-0.13010652,-0.448847576,-0.140063848,-0.078859813,0.031555073,0.09443879,-0.162981937,-0.075513711,-0.318866747,-0.288318221,0.038502103,0.088913528,0.209046655,-0.089570627,0.122792083,0.120352425,0.089841233,0.090503149,0.019199952,0.228055649,0.250391477,0.127356152,0.141934888,0.197785261,-0.262143911,0.066546806,0.57389018
