Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
TG(16:0/16:0/18:1),0.380432738,0.43267183,0.398758405,-0.486537515,-0.25279481,-0.271355384,-0.954792736,-0.008440186,-0.6288955,-0.272386298,-0.136104644,-0.561306433,-0.376183474,-1.275932268,-0.148905241,-0.075418163,0.562971601,-0.842086109,0.040389184,0.070124829,-0.709070201,-0.51278267,-0.710990661,-0.294884499,0.377700617,0.261099375,-0.214011098,0.10154067,-0.235094813,-0.419362531,-0.24586512,-0.195042812
TG(16:0/16:0/22:6),0.279682728,0.233091285,0.073148172,-0.682516207,-0.361190191,-0.339927418,-0.929357201,0.014347468,-0.598736396,-0.310332214,-0.166673904,-0.707839047,-0.288672234,-0.975975829,-0.244785925,-0.119443479,0.349318695,-1.004945804,0.04102194,0.084375377,-0.643056737,-0.52516721,-0.493984822,-0.338240255,0.093999966,0.036490283,-0.297289758,0.002687711,-0.19866236,-0.49192811,-0.110762584,-0.274496621
TG(16:0/22:6/18:1),0.012634555,-0.083110923,-0.184045322,-0.626795101,-0.418197299,-0.426490508,-0.890239598,-0.033786153,-0.602806782,-0.390568885,-0.200045636,-0.716024249,-0.113076507,-0.704853526,-0.190865026,0.049964253,-0.079730573,-1.235386367,-0.131756604,-0.040549367,-0.584046796,-0.36405855,-0.370162357,-0.379864998,-0.255104914,-0.335211833,-0.323845377,-0.061453919,0.019212586,-0.525984455,-0.043279479,-0.219938936
TG(18:0/16:0/18:1),0.471362069,0.449246732,0.01207912,-0.522009824,-0.207394682,-0.203047713,-0.846536065,-0.008707652,-0.559146476,-0.148646207,-0.066712541,-0.411404197,-0.459207768,-1.128811639,-0.18643934,-0.137458897,0.708779611,-0.655747607,0.171107348,0.200833746,-0.52867131,-0.40075355,-0.666744822,-0.387767531,0.495474371,0.43631605,-0.167584781,0.084977828,-0.146613817,-0.345895114,-0.143591824,-0.231239272
