Cleaned Names,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
9-octadecenolide,0.336132808,0.111582194,-0.082044603,-1.117341964,0.168104565,0.173771531,-0.551199175,0.024527203,-0.121153535,0.423897452,0.224218848,-0.154575228,-0.353853568,-0.464415942,-1.077876771,-0.052796429,0.197688185,0.48737563,0.288231777,0.166342213,0.315475122,0.262406619,-0.148673023,-0.179345239,0.5002136,0.262048021,0.230519447,0.164100438,0.581369007,-0.400330908,0.285838715,-0.174980722
Anandamide (20:1),0.284902514,0.059903416,-0.009644762,-0.405072117,0.242807982,0.049529596,-0.245712993,0.18121611,0.626753354,0.400186444,0.357288732,-0.209921715,0.127564718,0.052539707,-0.192827071,0.106181961,0.02294817,0.027542899,-0.180396957,0.085285634,0.322642091,-0.136346095,0.340771779,0.150426897,-0.105125453,0.258937857,-0.143295122,0.497616426,0.313915349,0.107374064,-0.125630197,-0.029461633
