Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
LysoPC(16:0),0.017127894,-0.185820464,-0.042169943,-0.538936036,-0.017214855,-0.473371021,-0.472238116,0.062007822,-0.685413552,-0.860736575,-0.504351143,-0.592428973,-0.108057784,-0.830900719,-0.489458676,-0.332029226,0.133791914,-0.842236122,0.114540407,0.070024387,-0.222059887,3.65E-05,-0.536747848,-0.392133003,0.130925751,-0.10796095,-0.691883772,-0.063688628,-0.580453415,-0.636018833,0.114907649,-0.34020534
LysoPC(16:0),-0.165002979,-0.102893062,-0.195714061,-0.634573599,-0.261367875,-0.556285378,-0.446409739,-0.133011286,-0.411728041,-0.54839366,-0.047859242,-0.438240456,-0.118187243,-0.500334638,-0.249688367,-0.347989687,0.077289556,-0.721250166,-0.175691414,0.021819784,-0.224052985,-0.292431711,-0.383953868,-0.454648455,-0.172554277,-0.02976756,-0.260710407,-0.30561193,0.011630692,-0.383287387,-0.142798154,-0.384464951
LysoPC(18:0),0.273935663,0.190260556,-0.098393898,-0.606651807,-0.122207827,-0.775442345,-0.965046324,0.013118945,-0.178575717,-0.397265034,0.111926673,-0.269462028,-0.17458944,-0.718067221,-0.225133014,-0.182593363,0.424435214,-0.437044552,0.011230552,0.063085411,-0.001180311,0.025765002,-0.315522391,-0.446474019,0.292054209,0.23886903,-0.261644146,0.116286702,0.220086955,-0.731067724,-0.043880036,-0.282558623
LysoPC(18:1),-0.045171464,0.079171182,-0.030275945,-0.559406922,-0.064287641,-0.527924309,-0.865042912,-0.029722943,-0.678173665,-0.697550997,-0.259636953,-0.665145692,-0.30053881,-0.798186753,-0.356523716,-0.214715523,0.138593493,-0.762047907,0.191179668,-0.099453564,-0.409794717,-0.32620459,-0.382844962,-0.306590573,0.154650264,-0.001364416,-0.542200401,-0.132320945,-0.037341212,-0.555882613,0.022190035,-0.237806259
LysoPC(20:4),0.014460487,0.072916479,-0.008197536,-0.591988016,-0.025189615,-0.645130779,-0.76873358,0.212387135,-0.445564635,-0.825729844,-0.101775274,-0.44934303,0.089254479,-0.839448069,-0.193456755,0.025673063,0.483696332,-0.753153519,0.30272681,0.156670434,-0.248375343,-0.168057322,-0.301060988,-0.286787004,0.195233477,0.166725652,-0.455751071,-0.040303212,-0.383853096,-0.609339196,0.098987486,-0.239015487
LysoPC(22:6),-0.156940229,-0.080159437,-0.210156765,-0.772541248,-0.18223448,-0.283955081,-0.666000535,-0.048580267,-0.473243768,-0.740828166,-0.271573458,-0.600547115,0.032644502,-0.726937094,-0.464514195,-0.075556763,0.324382225,-0.702128045,0.120546256,-0.100351594,-0.388367963,-0.310205633,-0.335214653,-0.238643037,0.032312662,-0.03714742,-0.555017673,-0.216484195,-0.370617528,-0.639959362,-0.046291349,-0.280956107
