Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
Cer(d18:0/22:0),0.161420318,0.175843358,0.160582446,0.401089854,0.029871894,-0.045047009,0.345910262,0.102963431,0.26114694,0.356689172,0.319792187,0.324969678,0.281710341,0.472687746,0.331824781,0.022076195,-0.071337788,0.261876654,-0.261889872,0.051650266,-4.087984972,-4.920408358,0.053326226,0.214401818,0.022779943,-0.011994408,0.288786043,0.020275376,-0.022715959,0.347243033,0.066932417,-0.199663504
Cer(d18:1/20:0(3OH)),0.176966624,-0.12081419,-0.377345759,-0.814093813,-0.072233682,-0.599779644,-0.832797387,0.098133801,0.025993873,-0.302858484,0.206585744,-0.434187707,-0.255841256,-0.366070433,-0.29348129,0.071928143,0.221510365,-0.475366252,-0.357393828,-0.043137853,0.160849002,-0.111671953,-0.208971105,-0.482415964,0.291641662,-0.063492869,-0.250957001,-0.074561528,-0.333547064,-0.686291305,-0.042618751,-0.518476126
Cer(d18:1/22:0(3OH)),-0.459103356,0.446253497,0.299961361,0.379991723,-0.339752692,-0.192353858,0.053920517,0.445102208,-0.044496857,0.447245513,-0.019083017,-0.325078795,0.499596383,-0.099292167,0.116491783,0.200534006,-0.089333287,-0.277347582,0.06094654,0.295548654,-0.333118078,-0.352421106,-0.161408579,-0.194394756,-0.033575679,0.157747528,-0.432343635,-0.188790602,-0.59714289,-0.153113511,-0.512949564,-0.397456191
Cer(d18:1/24:0(3OH)),-0.619879423,0.444316847,0.192478573,0.481082503,-0.582702952,-0.510289254,0.115621283,0.428840528,-0.202592027,0.523431839,-0.129256853,-0.437158726,0.593525083,-0.240385723,0.15663569,0.240269408,0.046044583,-0.391899546,0.144080016,0.21089397,-0.838697461,-0.675050775,-0.299172363,-0.258033517,-0.093204605,0.305672815,-0.477687287,-0.2372138,-0.590065013,-0.731252401,-0.664177518,-0.448039237
Cer(d18:1/24:1),-0.248062461,-0.051436474,-0.420974041,-0.526894455,-0.456224823,-0.745423542,-0.751074554,-0.437379057,-0.051570614,-0.441093166,0.219971669,-0.334191653,-0.327174959,-0.378032325,-0.491462051,-0.095386944,0.274759184,0.138067903,-0.139457482,-0.3362962,0.106268633,-0.056934303,-0.395192269,-0.383169385,0.213470849,0.031560518,-0.009054289,-0.563069266,-0.528855129,-0.688150554,-0.288072298,-0.575312136
Cer(d18:2/18:0),-0.400382821,-0.149468,-0.068119373,0.310278096,-0.402640692,-0.495408974,-0.004701237,-0.09279774,-0.01948253,-0.216384291,0.177715689,-0.035374896,0.062988872,0.152357536,0.442097503,0.059379575,-0.227440742,-0.237015871,-0.405336072,-0.382114115,0.061817643,-0.001817361,-0.113785507,-0.271172479,-0.202447838,-0.300913652,-0.005828558,-0.534424825,-0.540944293,0.038334839,-0.364562291,-0.672510128
Cer(d18:2/24:0(2OH)),0.185077029,0.457353978,-0.081218665,-0.92863943,0.12959971,0.120360726,-0.802790001,0.205114638,-0.070207929,0.194157147,0.280878411,-0.244227931,-0.167576553,-0.717929776,-0.910671407,0.080695243,0.363926234,0.257562005,0.454900997,0.163536004,0.051173234,0.048619584,-0.207731232,-0.106391523,0.52925459,0.407558903,-0.018091024,0.233125724,0.303690867,-0.586432905,0.144396538,-0.15059216
Cer(t26:1/16:0(2OH)),0.218822798,0.175719328,-0.048638705,-0.033302535,-0.133012858,-0.278776211,-0.241686758,0.018037139,0.060933138,-0.053912056,0.222875175,0.088606919,0.086999272,-0.23486101,0.195318147,-0.242894864,0.550160163,-0.097384393,0.093667297,0.122363648,0.107879597,0.234972353,-0.302145857,-0.221217563,0.253784294,0.283273632,-0.076245795,0.049602021,-0.221925902,-0.103287852,-0.143184158,-0.142003972
Ceramide (d18:1/18:1),-0.520092028,-0.178372283,0.13781052,0.931559987,-0.335487025,-0.284933075,0.6095995,-0.094888322,0.158321023,-0.210713262,0.13266377,0.122175173,0.234389238,0.641394197,0.733491073,0.18953418,-0.530078263,-0.15479442,-0.619957077,-0.451398857,0.152015285,0.012800609,0.059949508,-0.0904859,-0.452086244,-0.517489356,0.0884518,-0.631239082,-0.764948871,0.489466927,-0.379347736,-0.67601374
