Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
PC(P-16:0/20:0),0.046577382,-0.013990473,-0.086655633,-0.514570801,0.176384147,0.354070484,-0.374107511,-0.036338927,-0.390303984,-0.145633459,-0.192470031,-0.477608398,-0.402028354,-0.507281074,-0.890334826,-0.080853179,-0.051890178,0.207875627,0.081957164,0.030133074,-0.017225584,-0.11105288,-0.146675493,-0.23790765,0.148432752,-0.068930931,-0.088275102,-0.002154216,0.249339054,-0.415078502,0.242360876,0.071808098
PC(P-18:0/18:3),-0.143117166,-0.257026363,-0.248879876,-0.520421295,-0.281338993,-0.496111957,-0.645098508,-0.067507463,-0.402209376,-0.258971377,-0.058808079,-0.465549564,-0.029424198,-0.387289014,0.130399011,0.075549023,-0.329718238,-0.733680919,-0.266240945,0.071073526,-0.341051315,-0.222266129,-0.222916202,-0.383458692,-0.255440853,-0.230495178,-0.276646031,-0.337844893,-0.14423686,-0.633079459,-0.057941718,-0.146162329
PC(P-18:0/20:5),-0.159082024,-0.040530719,-0.102334638,-1.046096507,-0.048644858,-0.47573352,-0.746081438,0.050165299,-0.172049375,-0.049604984,0.217379776,-0.327183796,-0.050822915,-0.474503785,-0.068812985,0.202217054,-0.232241846,-0.442463044,-0.141903127,0.079260693,-0.094684175,0.044999714,-0.089727376,-0.274597059,-0.207399586,-0.195728326,-0.230181786,-0.113389823,-0.005404092,-0.417572864,0.123724825,0.07799735
