Variable,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
PS(18:0/22:6),-0.539245014,-0.591501826,-0.037046117,0.774398227,0.349772995,0.695860915,0.943500419,-0.074120838,0.40157147,-0.424775614,-0.05740131,0.800204705,0.036100999,0.715820283,0.359453348,0.085411806,-1.019924167,0.616177476,-0.282030282,-0.029717933,0.475177186,0.190692228,0.635571842,0.204470501,-0.979619559,-1.005415858,0.055328201,-0.019516181,-0.231837362,1.082344427,0.181405466,0.613459601
PS(22:2/24:0),-0.067500289,-0.165514964,-0.356672807,-1.902578375,-0.144061569,-0.238501832,-1.099586784,-0.124561094,-0.301281529,0.221531282,0.199006157,-0.507701028,-0.227594088,-0.478948693,-1.273186287,0.194590314,-0.022849576,0.119567864,0.009010113,-0.177214716,0.062098297,-0.024883279,-0.027514001,-0.264771994,-0.003804861,-0.134184429,0.176686792,-0.132455509,0.810342346,-0.78528669,0.184097647,-0.327167543
PS(22:6/22:4),-0.491120013,-0.319319228,-0.150083195,-0.024778337,-0.022638373,-0.38071428,-0.22947977,-0.070785007,0.301605909,-0.342690953,0.569132505,0.513309816,0.100437555,-0.038603608,0.488090279,-0.271150551,-0.6879328,0.494106426,-0.014501217,-0.016811116,0.315003593,0.160144924,0.551589521,-0.352758467,-0.704114737,-0.716656234,0.349504036,-0.026962245,0.267106017,0.222840455,0.095591145,0.195596784
