,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7
,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS
121,0.223607788,-0.200069854,-0.061584627,0.039043958,-0.203626467,-0.069105089,-0.259241467,-0.078708404,0.311227998,0.320942921,0.058572757,-0.001873148,-0.089155408,-0.250107144,-0.06810794,0.088964117
122,0.02294817,0.027542899,-0.180396957,0.085285634,0.322642091,-0.136346095,0.340771779,0.150426897,-0.105125453,0.258937857,-0.143295122,0.497616426,0.313915349,0.107374064,-0.125630197,-0.029461633
123,0.027458162,0.186787225,-0.00539652,0.082523336,-3.345438684,-3.717359596,0.15504129,0.10199189,-0.016569102,-0.006312494,0.134380825,0.084647924,-0.012398306,0.253346571,0.060115705,0.060811365
124,0.301105367,0.277975295,0.185925358,0.098377892,-0.031952443,-0.074156066,-0.320281412,-0.083338265,0.574814506,0.275774641,-0.175924626,0.146309993,0.462891205,-0.56346588,0.439728187,0.096918443
125,0.016287871,-0.564596842,-0.11660724,-0.091854818,-0.455696879,-0.309325246,-0.395271352,-0.201501663,-0.253656635,-0.197912326,-0.37838906,-0.123826188,0.02887375,-0.714604593,0.054423613,-0.471927519
126,-0.12339467,-0.691210071,-0.113223529,0.004539658,-0.391600077,-0.541404709,-0.315306038,-0.204329663,-0.254733947,-0.243373591,-0.05038954,-0.024185285,0.018884935,-0.789384037,-0.04471872,-0.50882824
127,0.701540877,-0.235014516,0.161348117,0.133902678,0.022173166,0.208973126,-0.456072787,-0.234130144,0.405026656,0.43624428,-0.014665708,0.10905865,0.090107721,-0.471612446,-0.071254772,-0.18787091
128,-0.211035256,0.725770519,-0.08042251,0.133193517,0.792780833,0.765941073,0.158203888,0.213213859,0.12053613,0.028880097,0.468307372,0.412095546,0.774668385,0.146049007,0.541606257,0.047956153
129,-0.004855207,-0.88192749,-0.131218925,-0.019485335,-0.22473336,-0.041704932,-0.123724679,-0.337098223,-0.135109323,-0.245430327,-0.031101989,-0.228670455,-0.004563915,-0.86942293,-0.18709353,0.175498966
130,0.38561789,-0.466838403,0.144148662,0.340520746,0.119462547,0.335094803,-0.055762341,-0.163549473,0.527612916,0.345624983,-0.032624627,0.438728174,0.222903488,-0.692984398,0.039300506,0.346716738
131,0.211936304,0.832335263,0.136424903,0.115098862,0.240363906,0.156784155,-0.171107555,-0.023767272,0.59938641,0.203512183,0.328271369,0.238611377,0.7317918,-0.249205681,0.422063861,0.044845573
132,-0.120738445,0.082313136,-0.014813711,0.085137775,0.410023391,0.388265219,0.324108506,-0.009476355,-0.094027921,0.052912844,0.219572977,0.249420838,0.053031525,0.380619485,-0.055097102,0.396234393
133,0.070484762,-0.511744122,0.247821678,0.27970656,-0.181711973,0.100868631,0.182510782,-0.162253571,0.157253558,0.30795855,-0.278861016,0.306209038,0.100164785,-0.180758809,0.001324133,-0.211827755
134,0.118004281,-0.179310147,0.096482875,0.209851978,0.066396287,-0.06557125,0.022609176,-0.036262534,0.012052635,0.234852352,0.093269027,0.126148264,-0.126773589,0.13106258,-0.095164553,0.340256721
135,0.562971601,-0.842086109,0.040389184,0.070124829,-0.709070201,-0.51278267,-0.710990661,-0.294884499,0.377700617,0.261099375,-0.214011098,0.10154067,-0.235094813,-0.419362531,-0.24586512,-0.195042812
136,0.49730387,0.02259363,0.168579968,0.085099453,0.042900884,0.087309835,-0.213241401,-0.133129609,0.515519424,0.524124312,0.197861613,0.196953734,0.36885252,-0.363461628,0.152139526,-0.176236718
137,0.708779611,-0.655747607,0.171107348,0.200833746,-0.52867131,-0.40075355,-0.666744822,-0.387767531,0.495474371,0.43631605,-0.167584781,0.084977828,-0.146613817,-0.345895114,-0.143591824,-0.231239272
138,0.611882497,0.260586833,0.40322711,0.17969882,0.132078744,0.096198955,-0.205607992,0.171883313,0.543299344,0.42322792,-0.031608596,0.480794441,0.312584964,-0.238860427,0.453761385,0.084620893
139,0.256963949,0.359133695,0.525945584,0.230350423,0.257311985,0.140078718,-0.060499845,-0.05782125,0.397798611,0.424831762,0.077232623,0.303633574,0.142295653,-0.19569948,0.127691725,0.044777284
140,-0.335833679,-0.55363216,-0.180181111,-0.304388888,-0.093824976,-0.176126722,0.010068615,-0.092986665,-0.411612047,-0.403254488,-0.262677899,-0.319875867,-0.021217966,-0.330302058,-0.129415338,-0.073159509
141,-0.653330547,0.164629919,-0.327372516,0.01738075,0.411699506,0.184147838,0.515302643,0.226115542,-0.376413259,-0.492607717,0.163039909,0.045744859,0.050670533,0.404920713,0.228780517,0.345326233
142,-0.290398716,0.158823489,-0.191643781,-0.006365164,0.481307641,0.263362834,0.33268686,0.156095813,-0.129349966,-0.220675457,0.184827085,0.210743148,-0.204667239,0.356378786,-0.055189769,0.496667772
143,-0.432459683,-0.175417674,-0.125895465,-0.124817119,0.033010612,-0.143208924,0.111647692,0.154928941,-0.173520308,-0.055498573,0.017258317,-0.069836213,0.007800196,-0.2118248,0.024081803,0.11649365
144,-0.274232721,-0.485906091,-0.080848719,-0.146460038,0.119811177,0.102944351,0.284450294,0.120285479,-0.3893123,-0.348388121,-0.112905884,-0.128909288,-0.184323455,0.067622171,0.034480109,0.121279866
145,-0.10127349,0.260248526,-0.029062217,0.072949497,0.326636058,0.130198243,0.181330295,0.226845374,-0.121097333,-0.035918441,0.128190391,0.055593234,-0.214595982,0.509068335,-0.01497202,0.202000143
