"","index","pvalAdjspear","pvalunoneadjspear","estimatespearn"
"1",1,-0.467306141701574,0.243004200186358,NA
"2",2,-0.401958490314703,0.323573755147735,NA
"3",3,0.140590841718895,0.739845184584892,NA
"4",4,0.780474894281308,0.0222846719671081,NA
"5",5,-0.59085440035595,0.122984333645464,NA
"6",6,-0.48500835255972,0.223157707136212,NA
"7",7,0.584223049396449,0.128315454960962,NA
"8",8,0.245185732437485,0.558368964517075,NA
"9",9,-0.169659313645728,0.68794047572363,NA
"10",10,0.383311106745003,0.3485872609066,NA
"11",11,0.666962957890785,0.0708163114098254,NA
"12",12,0.104323524691593,0.805808000371766,NA
"13",13,0.605385640187439,0.111745579139904,NA
"14",14,0.721583222448326,0.0433153260330099,NA
"15",15,0.60255823969754,0.113884694399903,NA
"16",16,-0.793412058175426,0.0187680689098224,NA
"17",17,-0.579355507056431,0.132309368425505,NA
"18",18,-0.536165840742434,0.170740075261061,NA
"19",19,0.813699978039155,0.0139905998229454,NA
"20",20,0.68785086458985,0.0593473579994896,NA
"21",21,0.825193132546144,0.0116645417551572,NA
"22",22,0.148112138136523,0.726324469889783,NA
"23",23,0.442957641154082,0.271701111113487,NA
"24",24,-0.697288513570569,0.0545559623815399,NA
"25",25,0.0785593022390986,0.853306228432072,NA
"26",26,-0.0691540157414071,0.870749019548898,NA
"27",27,-0.643706033867423,0.0850119653861228,NA
"28",28,-0.39320844451814,0.335203140476534,NA
"29",29,0.0879764351506572,0.835893363606119,NA
"30",30,-0.646319133847598,0.0833411747844927,NA
"31",31,0.442295294970452,0.272504057901274,NA
"32",32,0.727721646803426,0.0407197677089245,NA
"33",33,-0.315220610633415,0.446946254288805,NA
"34",34,0.37719485375734,0.356978592803105,NA
"35",35,0.462950971862642,0.248019026233412,NA
"36",36,0.332744883055383,0.420625249188019,NA
"37",37,0.614348813756467,0.105116247069569,NA
"38",38,0.260739439023778,0.532819609753502,NA
"39",39,0.225741737005051,0.590893971386867,NA
"40",40,0.395959243678871,0.331526450445389,NA
"41",41,0.676623605719998,0.0653628085101197,NA
"42",42,0.756999811899111,0.0296523442674144,NA
"43",43,0.213506728230546,0.611674422258986,NA
"44",44,-0.198208241541252,0.637978463772203,NA
"45",45,0.172007575369804,0.683790732955584,NA
"46",46,0.602841733158566,0.113669175210137,NA
"47",47,0.00265592081835598,0.995020171883834,NA
"48",48,0.158019062003466,0.708609486492094,NA
"49",49,0.370187022952797,0.366704666293087,NA
"50",50,0.408966602396376,0.314398952701897,NA
"51",51,0.380242634800663,0.352785713358555,NA
"52",52,-0.738956563251484,0.0362190364300777,NA
"53",53,0.658185268569002,0.0759960270613474,NA
