"","index","pvalAdjSpear","pvalunadjSpear","estimateSpear","pvalAdjPear","pvalunadjPearson","estimatePearson"
"1",1,0,0,-1,0,0,-1
"2",2,0.667921889640396,0.667921889640396,-0.181024192738718,0.667921889640396,0.667921889640396,-0.181024192738718
"3",3,0.651174651981643,0.651174651981643,0.190606461305664,0.651174651981643,0.651174651981643,0.190606461305664
"4",4,0.288291543602483,0.288291543602483,0.429461977174774,0.288291543602483,0.288291543602483,0.429461977174774
"5",5,0.302142338147411,0.302142338147411,0.41848230360863,0.302142338147411,0.302142338147411,0.41848230360863
"6",6,0.973115560208124,0.973115560208124,-0.0143403337813238,0.973115560208124,0.973115560208124,-0.0143403337813238
"7",7,0.923928013628958,0.923928013628958,-0.0406163735687656,0.923928013628958,0.923928013628958,-0.0406163735687656
"8",8,0.264054531424336,0.264054531424336,0.449314510808789,0.264054531424336,0.264054531424336,0.449314510808789
"9",9,0.105345397092914,0.105345397092914,0.614033702061954,0.105345397092914,0.105345397092914,0.614033702061954
"10",10,0.797480911090245,0.797480911090245,-0.108867326091439,0.797480911090245,0.797480911090245,-0.108867326091439
"11",11,0.849279294735887,0.849279294735887,0.0807345118075737,0.849279294735887,0.849279294735887,0.0807345118075737
"12",12,0.928647484817435,0.928647484817435,-0.0380915049618137,0.928647484817435,0.928647484817435,-0.0380915049618137
"13",13,0.98221434749352,0.98221434749352,-0.00948625042655112,0.98221434749352,0.98221434749352,-0.00948625042655112
"14",14,0.358217168098096,0.358217168098096,0.376297665483093,0.358217168098096,0.358217168098096,0.376297665483093
"15",15,0.242363651745054,0.242363651745054,0.467865699023034,0.242363651745054,0.242363651745054,0.467865699023034
"16",16,0.290879452886325,0.290879452886325,0.427391415377217,0.290879452886325,0.290879452886325,0.427391415377217
"17",17,0.750818794941977,0.750818794941977,0.134510301258634,0.750818794941977,0.750818794941977,0.134510301258634
"18",18,0.825690843199979,0.825690843199979,-0.0935085366463985,0.825690843199979,0.825690843199979,-0.0935085366463985
"19",19,0.152537039663267,0.152537039663267,0.555873941167174,0.152537039663267,0.152537039663267,0.555873941167174
"20",20,0.267628958494813,0.267628958494813,0.446331752054921,0.267628958494813,0.267628958494813,0.446331752054921
"21",21,0.376475647290075,0.376475647290075,0.363230682375276,0.376475647290075,0.376475647290075,0.363230682375276
"22",22,0.414766229889565,0.414766229889565,-0.336708024459986,0.414766229889565,0.414766229889565,-0.336708024459986
"23",23,0.212514165717287,0.212514165717287,0.494836885867887,0.212514165717287,0.212514165717287,0.494836885867887
"24",24,0.103585669025407,0.103585669025407,0.616463695746493,0.103585669025407,0.103585669025407,0.616463695746493
"25",25,0.743033112458093,0.743033112458093,-0.138822247853774,0.743033112458093,0.743033112458093,-0.138822247853774
